 &SRS
 SRSRUN=14762,SRSDAT=201364,SRSTIM=02759,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.4478	0.078921	  0.00
-1.4460	0.070374	  0.00
-1.4440	0.062145	  0.00
-1.4420	0.054817	  0.00
-1.4400	0.048361	  0.00
-1.4380	0.042017	  0.00
-1.4360	0.037048	  0.00
-1.4339	0.032668	  0.00
-1.4320	0.028383	  0.00
-1.4300	0.024534	  0.00
-1.4280	0.020973	  0.00
-1.4261	0.018055	  0.00
-1.4240	0.015423	  0.00
-1.4220	0.013354	  0.00
-1.4200	0.011361	  0.00
-1.4180	0.0098443	  0.00
-1.4159	0.0084804	  0.00
-1.4139	0.0072898	  0.00
-1.4120	0.0061188	  0.00
-1.4100	0.0052824	  0.00
-1.4080	0.0043879	  0.00
-1.4059	0.0037426	  0.00
-1.4040	0.0031418	  0.00
-1.4020	0.0025368	  0.00
-1.3999	0.0020502	  0.00
-1.3979	0.0017260	  0.00
-1.3959	0.0013847	  0.00
-1.3939	0.0011393	  0.00
-1.3920	0.00085413	  0.00
-1.3901	0.00064289	  0.00
-1.3880	0.00050185	  0.00
-1.3859	0.00033518	  0.00
-1.3839	0.00017093	  0.00
-1.3820	0.00014590	  0.00
-1.3800	2.4403e-05	  0.00
-1.3780	-4.1537e-05	  0.00
-1.3760	-0.00013923	  0.00
-1.3739	-0.00017769	  0.00
-1.3720	-0.00026562	  0.00
-1.3700	-0.00026135	  0.00
-1.3681	-0.00033461	  0.00
-1.3659	-0.00040178	  0.00
-1.3641	-0.00040300	  0.00
-1.3620	-0.00049520	  0.00
-1.3600	-0.00045673	  0.00
-1.3580	-0.00048665	  0.00
-1.3560	-0.00046712	  0.00
-1.3540	-0.00052024	  0.00
-1.3520	-0.00050803	  0.00
-1.3500	-0.00054588	  0.00
-1.3481	-0.00056725	  0.00
-1.3462	-0.00063137	  0.00
-1.3440	-0.00057763	  0.00
-1.3420	-0.00062587	  0.00
-1.3400	-0.00055993	  0.00
-1.3380	-0.00058435	  0.00
-1.3361	-0.00060206	  0.00
-1.3339	-0.00064358	  0.00
-1.3320	-0.00060633	  0.00
-1.3300	-0.00055443	  0.00
-1.3280	-0.00067106	  0.00
-1.3260	-0.00062832	  0.00
-1.3240	-0.00056786	  0.00
-1.3220	-0.00059290	  0.00
-1.3200	-0.00061672	  0.00
-1.3181	-0.00066800	  0.00
-1.3159	-0.00067289	  0.00
-1.3140	-0.00064602	  0.00
-1.3120	-0.00072052	  0.00
-1.3100	-0.00068205	  0.00
-1.3080	-0.00067777	  0.00
-1.3061	-0.00066861	  0.00
-1.3039	-0.00060939	  0.00
-1.3020	-0.00066007	  0.00
-1.3000	-0.00063564	  0.00
