 &SRS
 SRSRUN=14762,SRSDAT=201364,SRSTIM=02759,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.7000	1.3304	  0.00
-1.6980	1.3309	  0.00
-1.6961	1.3309	  0.00
-1.6940	1.3306	  0.00
-1.6920	1.3303	  0.00
-1.6900	1.3303	  0.00
-1.6877	1.3304	  0.00
-1.6858	1.3307	  0.00
-1.6840	1.3309	  0.00
-1.6820	1.3305	  0.00
-1.6800	1.3299	  0.00
-1.6780	1.3299	  0.00
-1.6758	1.3296	  0.00
-1.6740	1.3301	  0.00
-1.6720	1.3302	  0.00
-1.6700	1.3300	  0.00
-1.6680	1.3297	  0.00
-1.6661	1.3294	  0.00
-1.6639	1.3293	  0.00
-1.6620	1.3297	  0.00
-1.6600	1.3291	  0.00
-1.6581	1.3284	  0.00
-1.6559	1.3286	  0.00
-1.6540	1.3288	  0.00
-1.6520	1.3292	  0.00
-1.6500	1.3290	  0.00
-1.6479	1.3289	  0.00
-1.6460	1.3288	  0.00
-1.6439	1.3284	  0.00
-1.6420	1.3285	  0.00
-1.6400	1.3286	  0.00
-1.6381	1.3286	  0.00
-1.6360	1.3282	  0.00
-1.6340	1.3282	  0.00
-1.6320	1.3278	  0.00
-1.6300	1.3279	  0.00
-1.6280	1.3278	  0.00
-1.6256	1.3264	  0.00
-1.6240	1.3264	  0.00
-1.6220	1.3267	  0.00
-1.6200	1.3262	  0.00
-1.6180	1.3251	  0.00
-1.6161	1.3249	  0.00
-1.6140	1.3248	  0.00
-1.6120	1.3241	  0.00
-1.6100	1.3236	  0.00
-1.6080	1.3229	  0.00
-1.6059	1.3219	  0.00
-1.6039	1.3210	  0.00
-1.6020	1.3199	  0.00
-1.6000	1.3190	  0.00
-1.5979	1.3175	  0.00
-1.5959	1.3161	  0.00
-1.5940	1.3146	  0.00
-1.5920	1.3128	  0.00
-1.5900	1.3110	  0.00
-1.5880	1.3087	  0.00
-1.5859	1.3058	  0.00
-1.5841	1.3033	  0.00
-1.5820	1.3000	  0.00
-1.5799	1.2965	  0.00
-1.5781	1.2925	  0.00
-1.5763	1.2881	  0.00
-1.5738	1.2838	  0.00
-1.5720	1.2796	  0.00
-1.5701	1.2734	  0.00
-1.5681	1.2668	  0.00
-1.5660	1.2596	  0.00
-1.5640	1.2519	  0.00
-1.5620	1.2443	  0.00
-1.5600	1.2358	  0.00
-1.5580	1.2260	  0.00
-1.5560	1.2155	  0.00
-1.5540	1.2045	  0.00
-1.5520	1.1927	  0.00
-1.5500	1.1792	  0.00
-1.5481	1.1647	  0.00
-1.5460	1.1484	  0.00
-1.5440	1.1327	  0.00
-1.5420	1.1163	  0.00
-1.5400	1.0994	  0.00
-1.5381	1.0803	  0.00
-1.5360	1.0602	  0.00
-1.5340	1.0402	  0.00
-1.5320	1.0193	  0.00
-1.5300	0.99809	  0.00
-1.5279	0.97370	  0.00
-1.5261	0.94900	  0.00
-1.5239	0.92380	  0.00
-1.5220	0.89824	  0.00
-1.5200	0.87127	  0.00
-1.5180	0.84464	  0.00
-1.5161	0.81756	  0.00
-1.5140	0.79223	  0.00
-1.5120	0.76358	  0.00
-1.5100	0.73477	  0.00
-1.5081	0.70626	  0.00
-1.5062	0.67968	  0.00
-1.5040	0.64826	  0.00
-1.5020	0.62010	  0.00
-1.5000	0.59043	  0.00
-1.4981	0.56072	  0.00
-1.4961	0.53510	  0.00
-1.4939	0.50767	  0.00
-1.4920	0.47857	  0.00
-1.4900	0.45128	  0.00
-1.4879	0.42585	  0.00
-1.4860	0.40014	  0.00
-1.4840	0.37604	  0.00
-1.4819	0.35018	  0.00
-1.4800	0.32784	  0.00
-1.4780	0.30675	  0.00
-1.4764	0.28364	  0.00
-1.4741	0.26492	  0.00
-1.4720	0.24646	  0.00
-1.4700	0.22651	  0.00
-1.4680	0.20843	  0.00
-1.4662	0.19084	  0.00
-1.4640	0.17624	  0.00
-1.4620	0.16039	  0.00
-1.4600	0.14629	  0.00
-1.4582	0.13307	  0.00
-1.4561	0.12166	  0.00
-1.4540	0.10934	  0.00
-1.4520	0.098734	  0.00
-1.4500	0.088363	  0.00
