 &SRS
 SRSRUN=14751,SRSDAT=201364,SRSTIM=11136,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
49.900	-0.00091347	  0.00
49.902	-0.00092996	  0.00
49.904	-0.00088538	  0.00
49.906	-0.00098736	  0.00
49.908	-0.00091713	  0.00
49.910	-0.00092019	  0.00
49.912	-0.00086340	  0.00
49.914	-0.00093789	  0.00
49.916	-0.00096110	  0.00
49.918	-0.00088050	  0.00
49.920	-0.00092385	  0.00
49.922	-0.00094766	  0.00
49.924	-0.00090920	  0.00
49.926	-0.00093362	  0.00
49.928	-0.00090920	  0.00
49.930	-0.00092202	  0.00
49.932	-0.00091713	  0.00
49.934	-0.00092812	  0.00
49.936	-0.00086523	  0.00
49.938	-0.0010167	  0.00
49.940	-0.00092568	  0.00
49.942	-0.00093057	  0.00
49.944	-0.00095560	  0.00
49.946	-0.00097636	  0.00
49.948	-0.00093240	  0.00
49.950	-0.00093606	  0.00
49.952	-0.00092263	  0.00
49.954	-0.00092812	  0.00
49.956	-0.00094095	  0.00
49.958	-0.00092568	  0.00
49.960	-0.00092507	  0.00
49.962	-0.00093667	  0.00
49.964	-0.00091164	  0.00
49.966	-0.00093911	  0.00
49.968	-0.00093545	  0.00
49.970	-0.00094278	  0.00
49.972	-0.00092324	  0.00
49.974	-0.00090981	  0.00
49.976	-0.00090920	  0.00
49.978	-0.00087012	  0.00
49.980	-0.00090859	  0.00
49.982	-0.00092996	  0.00
49.984	-0.00089576	  0.00
49.986	-0.00094888	  0.00
49.988	-0.00093972	  0.00
49.990	-0.00091958	  0.00
49.992	-0.00089637	  0.00
49.994	-0.00085851	  0.00
49.996	-0.00082310	  0.00
49.998	-0.00085241	  0.00
50.000	-0.00079074	  0.00
50.002	-0.00065884	  0.00
50.004	-0.00065945	  0.00
50.006	-0.00060450	  0.00
50.008	-0.00047627	  0.00
50.010	-0.00033645	  0.00
50.012	-0.00010381	  0.00
50.014	0.00012759	  0.00
50.016	0.00034372	  0.00
50.018	0.00053055	  0.00
50.020	0.0010526	  0.00
50.022	0.0015489	  0.00
50.024	0.0027578	  0.00
50.026	0.0041175	  0.00
50.028	0.0057958	  0.00
50.030	0.0084547	  0.00
50.032	0.011399	  0.00
50.034	0.015583	  0.00
50.036	0.020024	  0.00
50.038	0.024691	  0.00
50.040	0.032925	  0.00
50.042	0.044984	  0.00
50.044	0.054357	  0.00
50.046	0.058323	  0.00
50.048	0.057350	  0.00
50.050	0.048909	  0.00
50.052	0.038231	  0.00
50.054	0.026139	  0.00
50.056	0.018991	  0.00
50.058	0.012647	  0.00
50.060	0.0093846	  0.00
50.062	0.0063801	  0.00
50.064	0.0045674	  0.00
50.066	0.0029391	  0.00
50.068	0.0021381	  0.00
50.070	0.0014207	  0.00
50.072	0.00079919	  0.00
50.074	0.00037425	  0.00
50.076	5.2485e-05	  0.00
50.078	-0.00019296	  0.00
50.080	-0.00038774	  0.00
50.082	-0.00048727	  0.00
50.084	-0.00063564	  0.00
50.086	-0.00065640	  0.00
50.088	-0.00069487	  0.00
50.090	-0.00076326	  0.00
50.092	-0.00078097	  0.00
50.094	-0.00081455	  0.00
50.096	-0.00085058	  0.00
50.098	-0.00089699	  0.00
50.100	-0.00089149	  0.00
