 &SRS
 SRSRUN=14750,SRSDAT=201364,SRSTIM=11018,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.4700	-0.00090859	  0.00
3.4720	-0.00088294	  0.00
3.4740	-0.00086340	  0.00
3.4760	-0.00082676	  0.00
3.4780	-0.00082982	  0.00
3.4800	-0.00063442	  0.00
3.4820	-0.00060939	  0.00
3.4840	-0.00051780	  0.00
3.4859	-0.00035904	  0.00
3.4880	-7.2676e-05	  0.00
3.4900	8.7291e-05	  0.00
3.4920	0.00037791	  0.00
3.4940	0.00075462	  0.00
3.4960	0.0012180	  0.00
3.4980	0.0016600	  0.00
3.5000	0.0022486	  0.00
3.5020	0.0028866	  0.00
3.5040	0.0035832	  0.00
3.5060	0.0042219	  0.00
3.5080	0.0051206	  0.00
3.5100	0.0060132	  0.00
3.5120	0.0071769	  0.00
3.5140	0.0083540	  0.00
3.5160	0.0092374	  0.00
3.5180	0.010672	  0.00
3.5200	0.012042	  0.00
3.5220	0.013711	  0.00
3.5240	0.015796	  0.00
3.5260	0.017377	  0.00
3.5280	0.018911	  0.00
3.5299	0.021007	  0.00
3.5320	0.022592	  0.00
3.5340	0.024366	  0.00
3.5360	0.025201	  0.00
3.5380	0.027220	  0.00
3.5400	0.028399	  0.00
3.5420	0.030098	  0.00
3.5440	0.031140	  0.00
3.5460	0.032043	  0.00
3.5480	0.032636	  0.00
3.5500	0.033254	  0.00
3.5520	0.033831	  0.00
3.5540	0.033880	  0.00
3.5560	0.034092	  0.00
3.5580	0.035812	  0.00
3.5600	0.034732	  0.00
3.5620	0.036279	  0.00
3.5640	0.036571	  0.00
3.5660	0.036001	  0.00
3.5679	0.036035	  0.00
3.5700	0.034931	  0.00
3.5720	0.034185	  0.00
3.5740	0.032656	  0.00
3.5760	0.032113	  0.00
3.5780	0.030514	  0.00
3.5800	0.028996	  0.00
3.5820	0.028350	  0.00
3.5840	0.027174	  0.00
3.5860	0.025066	  0.00
3.5880	0.024054	  0.00
3.5900	0.021520	  0.00
3.5919	0.020372	  0.00
3.5940	0.018911	  0.00
3.5960	0.016966	  0.00
3.5980	0.015208	  0.00
3.6000	0.014257	  0.00
3.6020	0.012072	  0.00
3.6040	0.010616	  0.00
3.6060	0.0090714	  0.00
3.6080	0.0078698	  0.00
3.6100	0.0066579	  0.00
3.6120	0.0058343	  0.00
3.6140	0.0048184	  0.00
3.6160	0.0040961	  0.00
3.6180	0.0030148	  0.00
3.6200	0.0022278	  0.00
3.6220	0.0015831	  0.00
3.6239	0.0011026	  0.00
3.6259	0.00062946	  0.00
3.6280	0.00030465	  0.00
3.6300	5.6762e-05	  0.00
3.6320	-0.00019601	  0.00
3.6340	-0.00047444	  0.00
3.6360	-0.00060756	  0.00
3.6380	-0.00070586	  0.00
3.6400	-0.00083287	  0.00
3.6420	-0.00083531	  0.00
3.6440	-0.00088844	  0.00
3.6460	-0.00093240	  0.00
3.6480	-0.00092446	  0.00
3.6500	-0.00093362	  0.00
3.6520	-0.00095865	  0.00
3.6539	-0.00097087	  0.00
3.6560	-0.00091774	  0.00
3.6580	-0.00086218	  0.00
3.6600	-0.00092935	  0.00
3.6620	-0.00093667	  0.00
3.6640	-0.00095377	  0.00
3.6660	-0.00092629	  0.00
3.6680	-0.00094278	  0.00
3.6700	-0.00095377	  0.00
