 &SRS
 SRSRUN=14760,SRSDAT=201364,SRSTIM=115435,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.3800	0.00020818	  0.00
3.3820	0.00039379	  0.00
3.3840	0.00071188	  0.00
3.3860	0.0010342	  0.00
3.3880	0.0013139	  0.00
3.3900	0.0018835	  0.00
3.3920	0.0022510	  0.00
3.3941	0.0029385	  0.00
3.3960	0.0035765	  0.00
3.3980	0.0042774	  0.00
3.4000	0.0051658	  0.00
3.4020	0.0059430	  0.00
3.4040	0.0069223	  0.00
3.4059	0.0080389	  0.00
3.4080	0.0093724	  0.00
3.4100	0.010499	  0.00
3.4120	0.012255	  0.00
3.4140	0.014071	  0.00
3.4160	0.015511	  0.00
3.4180	0.017892	  0.00
3.4200	0.019828	  0.00
3.4220	0.021996	  0.00
3.4240	0.024735	  0.00
3.4260	0.027579	  0.00
3.4281	0.030697	  0.00
3.4299	0.033323	  0.00
3.4320	0.036765	  0.00
3.4340	0.040843	  0.00
3.4360	0.043832	  0.00
3.4380	0.048307	  0.00
3.4400	0.053315	  0.00
3.4420	0.057764	  0.00
3.4440	0.062677	  0.00
3.4460	0.066358	  0.00
3.4480	0.071119	  0.00
3.4500	0.077661	  0.00
3.4520	0.081017	  0.00
3.4540	0.086557	  0.00
3.4560	0.091727	  0.00
3.4580	0.097289	  0.00
3.4600	0.10187	  0.00
3.4620	0.10661	  0.00
3.4640	0.11095	  0.00
3.4660	0.11578	  0.00
3.4680	0.11954	  0.00
3.4700	0.12401	  0.00
3.4720	0.12941	  0.00
3.4740	0.13558	  0.00
3.4760	0.13909	  0.00
3.4780	0.14232	  0.00
3.4800	0.14291	  0.00
3.4820	0.14659	  0.00
3.4840	0.14960	  0.00
3.4860	0.14933	  0.00
3.4880	0.15020	  0.00
3.4900	0.15223	  0.00
3.4920	0.15346	  0.00
3.4940	0.15229	  0.00
3.4960	0.15065	  0.00
3.4980	0.14738	  0.00
3.5000	0.14676	  0.00
3.5020	0.14465	  0.00
3.5040	0.14150	  0.00
3.5060	0.13935	  0.00
3.5080	0.13788	  0.00
3.5100	0.13343	  0.00
3.5120	0.12929	  0.00
3.5140	0.12407	  0.00
3.5160	0.11963	  0.00
3.5180	0.11519	  0.00
3.5200	0.10973	  0.00
3.5220	0.10407	  0.00
3.5240	0.10079	  0.00
3.5260	0.096963	  0.00
3.5280	0.090247	  0.00
3.5300	0.085837	  0.00
3.5320	0.082539	  0.00
3.5340	0.076778	  0.00
3.5360	0.071481	  0.00
3.5380	0.067251	  0.00
3.5400	0.062492	  0.00
3.5420	0.058254	  0.00
3.5440	0.054849	  0.00
3.5459	0.050609	  0.00
3.5480	0.046798	  0.00
3.5500	0.043191	  0.00
3.5520	0.039532	  0.00
3.5540	0.035491	  0.00
3.5560	0.032766	  0.00
3.5580	0.028844	  0.00
3.5600	0.025342	  0.00
3.5620	0.022355	  0.00
3.5640	0.019845	  0.00
3.5660	0.017394	  0.00
3.5680	0.015103	  0.00
3.5700	0.012925	  0.00
3.5720	0.010655	  0.00
3.5740	0.0092594	  0.00
3.5760	0.0077850	  0.00
3.5780	0.0061658	  0.00
3.5800	0.0051792	  0.00
