 &SRS
 SRSRUN=13772,SRSDAT=2013520,SRSTIM=45047,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
2.4511	-0.00031202	  0.00
2.4610	0.00050918	  0.00
2.4712	0.0018047	  0.00
2.4810	0.0041339	  0.00
2.4911	0.0069290	  0.00
2.5011	0.011677	  0.00
2.5111	0.017483	  0.00
2.5211	0.023066	  0.00
2.5310	0.028533	  0.00
2.5411	0.032231	  0.00
2.5512	0.034384	  0.00
2.5611	0.033180	  0.00
2.5711	0.028946	  0.00
2.5813	0.023403	  0.00
2.5910	0.017569	  0.00
2.6011	0.012164	  0.00
2.6112	0.0077355	  0.00
2.6212	0.0039245	  0.00
2.6310	0.0014335	  0.00
2.6412	0.00016178	  0.00
2.6511	-0.00041644	  0.00
