 &SRS
 SRSRUN=13774,SRSDAT=2013520,SRSTIM=45356,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
-0.099900	-0.00074555	  0.00
-0.090000	-0.00067167	  0.00
-0.080000	-0.00058863	  0.00
-0.070100	-0.00050925	  0.00
-0.060100	-0.00037858	  0.00
-0.050000	-0.00014167	  0.00
-0.040000	0.00019475	  0.00
-0.030000	0.00094450	  0.00
-0.020000	0.0037090	  0.00
-0.010000	0.021112	  0.00
-0.00010000	0.049916	  0.00
0.010000	0.010774	  0.00
0.019900	0.0021741	  0.00
0.030100	0.00071921	  0.00
0.040000	0.00024237	  0.00
0.049900	-0.00017830	  0.00
0.059900	-0.00024059	  0.00
0.070000	-0.00046406	  0.00
0.080100	-0.00062587	  0.00
0.090000	-0.00064358	  0.00
0.10000	-0.00073639	  0.00
