 &SRS
 SRSRUN=14759,SRSDAT=201364,SRSTIM=11536,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
49.900	-0.00093301	  0.00
49.902	-0.00089088	  0.00
49.904	-0.00086340	  0.00
49.906	-0.00090981	  0.00
49.908	-0.00081028	  0.00
49.910	-0.00087805	  0.00
49.912	-0.00086279	  0.00
49.914	-0.00083714	  0.00
49.916	-0.00089149	  0.00
49.918	-0.00087866	  0.00
49.920	-0.00084020	  0.00
49.922	-0.00080295	  0.00
49.924	-0.00079929	  0.00
49.926	-0.00077181	  0.00
49.928	-0.00075471	  0.00
49.930	-0.00069609	  0.00
49.932	-0.00072907	  0.00
49.934	-0.00071808	  0.00
49.936	-0.00070037	  0.00
49.938	-0.00068083	  0.00
49.940	-0.00068632	  0.00
49.942	-0.00065457	  0.00
49.944	-0.00065335	  0.00
49.946	-0.00060206	  0.00
49.948	-0.00056420	  0.00
49.950	-0.00057641	  0.00
49.952	-0.00053795	  0.00
49.954	-0.00052390	  0.00
49.956	-0.00051230	  0.00
49.958	-0.00042865	  0.00
49.960	-0.00041033	  0.00
49.962	-0.00039018	  0.00
49.964	-0.00032851	  0.00
49.966	-0.00032362	  0.00
49.968	-0.00029310	  0.00
49.970	-0.00027356	  0.00
49.972	-0.00023936	  0.00
49.974	-0.00022959	  0.00
49.976	-0.00015571	  0.00
49.978	-0.00017281	  0.00
49.980	-9.1600e-05	  0.00
49.982	-6.7319e-06	  0.00
49.984	1.5854e-05	  0.00
49.986	5.7372e-05	  0.00
49.988	0.00013492	  0.00
49.990	0.00017704	  0.00
49.992	0.00026252	  0.00
49.994	0.00038463	  0.00
49.996	0.00041821	  0.00
49.998	0.00055558	  0.00
50.000	0.00067464	  0.00
50.002	0.00080407	  0.00
50.004	0.0010001	  0.00
50.006	0.0011991	  0.00
50.008	0.0014726	  0.00
50.010	0.0016240	  0.00
50.012	0.0018640	  0.00
50.014	0.0022004	  0.00
50.016	0.0026723	  0.00
50.018	0.0030918	  0.00
50.020	0.0037640	  0.00
50.022	0.0049252	  0.00
50.024	0.0068118	  0.00
50.026	0.0095744	  0.00
50.028	0.012337	  0.00
50.030	0.017400	  0.00
50.032	0.023192	  0.00
50.034	0.030294	  0.00
50.036	0.037167	  0.00
50.038	0.046055	  0.00
50.040	0.056069	  0.00
50.042	0.067994	  0.00
50.044	0.073664	  0.00
50.046	0.075805	  0.00
50.048	0.067879	  0.00
50.050	0.055693	  0.00
50.052	0.042070	  0.00
50.054	0.027889	  0.00
50.056	0.022180	  0.00
50.058	0.016086	  0.00
50.060	0.011914	  0.00
50.062	0.0088790	  0.00
50.064	0.0068948	  0.00
50.066	0.0054356	  0.00
50.068	0.0046816	  0.00
50.070	0.0037511	  0.00
50.072	0.0031229	  0.00
50.074	0.0026534	  0.00
50.076	0.0022852	  0.00
50.078	0.0019977	  0.00
50.080	0.0017712	  0.00
50.082	0.0015990	  0.00
50.084	0.0014891	  0.00
50.086	0.0012485	  0.00
50.088	0.0010642	  0.00
50.090	0.00089199	  0.00
50.092	0.00082116	  0.00
50.094	0.00067952	  0.00
50.096	0.00057512	  0.00
50.098	0.00043042	  0.00
50.100	0.00045423	  0.00
