 &SRS
 SRSRUN=14774,SRSDAT=201364,SRSTIM=13012,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.4700	3.2951e-05	  0.00
3.4720	0.00021978	  0.00
3.4740	0.00040111	  0.00
3.4760	0.00044080	  0.00
3.4780	0.00066060	  0.00
3.4800	0.00087733	  0.00
3.4820	0.0010721	  0.00
3.4840	0.0013768	  0.00
3.4860	0.0016014	  0.00
3.4880	0.0019238	  0.00
3.4900	0.0023304	  0.00
3.4920	0.0027865	  0.00
3.4940	0.0031491	  0.00
3.4960	0.0035747	  0.00
3.4980	0.0040882	  0.00
3.5000	0.0046315	  0.00
3.5020	0.0051187	  0.00
3.5040	0.0058038	  0.00
3.5060	0.0066451	  0.00
3.5080	0.0072007	  0.00
3.5100	0.0079242	  0.00
3.5120	0.0085390	  0.00
3.5140	0.0092826	  0.00
3.5160	0.010333	  0.00
3.5180	0.011445	  0.00
3.5200	0.012581	  0.00
3.5221	0.013594	  0.00
3.5240	0.014733	  0.00
3.5260	0.015524	  0.00
3.5280	0.016433	  0.00
3.5300	0.017844	  0.00
3.5320	0.018530	  0.00
3.5340	0.019526	  0.00
3.5360	0.020863	  0.00
3.5380	0.022330	  0.00
3.5400	0.023279	  0.00
3.5420	0.023691	  0.00
3.5440	0.024710	  0.00
3.5460	0.025442	  0.00
3.5480	0.026096	  0.00
3.5500	0.027461	  0.00
3.5520	0.028113	  0.00
3.5540	0.029117	  0.00
3.5560	0.029771	  0.00
3.5580	0.030581	  0.00
3.5600	0.031037	  0.00
3.5620	0.030177	  0.00
3.5640	0.031242	  0.00
3.5660	0.030708	  0.00
3.5680	0.031316	  0.00
3.5700	0.031095	  0.00
3.5719	0.030834	  0.00
3.5740	0.031603	  0.00
3.5760	0.029973	  0.00
3.5780	0.030271	  0.00
3.5800	0.029024	  0.00
3.5820	0.028826	  0.00
3.5840	0.028317	  0.00
3.5860	0.027690	  0.00
3.5880	0.026931	  0.00
3.5900	0.025539	  0.00
3.5920	0.024537	  0.00
3.5940	0.023915	  0.00
3.5960	0.022853	  0.00
3.5980	0.021678	  0.00
3.6000	0.020762	  0.00
3.6020	0.019559	  0.00
3.6040	0.018698	  0.00
3.6060	0.017603	  0.00
3.6080	0.016367	  0.00
3.6100	0.015716	  0.00
3.6120	0.014713	  0.00
3.6140	0.013793	  0.00
3.6160	0.012548	  0.00
3.6180	0.011899	  0.00
3.6200	0.010684	  0.00
3.6220	0.010132	  0.00
3.6240	0.0094377	  0.00
3.6260	0.0084755	  0.00
3.6280	0.0078155	  0.00
3.6299	0.0069504	  0.00
3.6320	0.0061402	  0.00
3.6340	0.0054558	  0.00
3.6360	0.0048239	  0.00
3.6380	0.0041211	  0.00
3.6400	0.0034037	  0.00
3.6420	0.0029153	  0.00
3.6440	0.0023329	  0.00
3.6460	0.0018145	  0.00
3.6481	0.0014787	  0.00
3.6500	0.0011289	  0.00
3.6520	0.00080224	  0.00
3.6540	0.00056718	  0.00
3.6560	0.00035227	  0.00
3.6580	7.0193e-05	  0.00
3.6600	-3.2989e-05	  0.00
3.6619	-0.00014778	  0.00
3.6640	-0.00029188	  0.00
3.6660	-0.00039018	  0.00
3.6680	-0.00047627	  0.00
3.6700	-0.00054894	  0.00
