 &SRS
 SRSRUN=13771,SRSDAT=2013520,SRSTIM=44738,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
2.4510	-0.00012763	  0.00
2.4522	-5.2527e-05	  0.00
2.4532	5.1265e-05	  0.00
2.4541	0.00011721	  0.00
2.4551	0.00022589	  0.00
2.4561	0.00036631	  0.00
2.4571	0.00044446	  0.00
2.4581	0.00050613	  0.00
2.4591	0.00061114	  0.00
2.4600	0.00072592	  0.00
2.4611	0.00082177	  0.00
2.4621	0.00093717	  0.00
2.4632	0.0010874	  0.00
2.4641	0.0011887	  0.00
2.4653	0.0014445	  0.00
2.4661	0.0015935	  0.00
2.4671	0.0017028	  0.00
2.4681	0.0019171	  0.00
2.4691	0.0021222	  0.00
2.4701	0.0023768	  0.00
2.4711	0.0026766	  0.00
2.4719	0.0028573	  0.00
2.4728	0.0030301	  0.00
2.4738	0.0033018	  0.00
2.4750	0.0036626	  0.00
2.4760	0.0039190	  0.00
2.4771	0.0042097	  0.00
2.4781	0.0042640	  0.00
2.4791	0.0044966	  0.00
2.4801	0.0047597	  0.00
2.4811	0.0050943	  0.00
2.4821	0.0054460	  0.00
2.4832	0.0058703	  0.00
2.4840	0.0064674	  0.00
2.4850	0.0066097	  0.00
2.4860	0.0070132	  0.00
2.4870	0.0074070	  0.00
2.4881	0.0076958	  0.00
2.4891	0.0083644	  0.00
2.4901	0.0087295	  0.00
2.4910	0.0092857	  0.00
2.4922	0.010129	  0.00
2.4933	0.010716	  0.00
2.4941	0.011371	  0.00
2.4951	0.011618	  0.00
2.4960	0.012169	  0.00
2.4971	0.012978	  0.00
2.4981	0.013457	  0.00
2.4991	0.014028	  0.00
2.5001	0.014423	  0.00
2.5011	0.014947	  0.00
2.5022	0.015746	  0.00
2.5030	0.016420	  0.00
2.5042	0.016926	  0.00
2.5050	0.017838	  0.00
2.5061	0.018410	  0.00
2.5071	0.019151	  0.00
2.5081	0.019757	  0.00
2.5091	0.020139	  0.00
2.5101	0.021132	  0.00
2.5112	0.022319	  0.00
2.5122	0.022851	  0.00
2.5132	0.024142	  0.00
2.5138	0.024319	  0.00
2.5151	0.024993	  0.00
2.5161	0.026002	  0.00
2.5172	0.026945	  0.00
2.5181	0.027519	  0.00
2.5191	0.028063	  0.00
2.5201	0.029004	  0.00
2.5211	0.029741	  0.00
2.5221	0.030972	  0.00
2.5228	0.031576	  0.00
2.5242	0.031500	  0.00
2.5251	0.032249	  0.00
2.5261	0.032854	  0.00
2.5270	0.034092	  0.00
2.5281	0.034931	  0.00
2.5291	0.034917	  0.00
2.5301	0.036083	  0.00
2.5311	0.036503	  0.00
2.5320	0.036488	  0.00
2.5330	0.036820	  0.00
2.5341	0.037305	  0.00
2.5353	0.038164	  0.00
2.5362	0.039298	  0.00
2.5371	0.039422	  0.00
2.5381	0.039445	  0.00
2.5391	0.040129	  0.00
2.5401	0.040855	  0.00
2.5411	0.040644	  0.00
2.5421	0.041484	  0.00
2.5431	0.042584	  0.00
2.5438	0.041819	  0.00
2.5451	0.041867	  0.00
2.5461	0.041989	  0.00
2.5471	0.042102	  0.00
2.5481	0.042814	  0.00
2.5491	0.042332	  0.00
2.5501	0.042021	  0.00
2.5511	0.041815	  0.00
2.5521	0.041993	  0.00
2.5531	0.041184	  0.00
2.5540	0.041462	  0.00
2.5555	0.041338	  0.00
2.5562	0.041089	  0.00
2.5571	0.041490	  0.00
2.5581	0.041051	  0.00
2.5591	0.040429	  0.00
2.5601	0.040273	  0.00
2.5611	0.040545	  0.00
2.5622	0.039797	  0.00
2.5632	0.039261	  0.00
2.5641	0.038759	  0.00
2.5652	0.038195	  0.00
2.5661	0.037646	  0.00
2.5671	0.036971	  0.00
2.5681	0.036580	  0.00
2.5691	0.036742	  0.00
2.5701	0.035444	  0.00
2.5711	0.034486	  0.00
2.5720	0.034539	  0.00
2.5730	0.034400	  0.00
2.5741	0.033503	  0.00
2.5751	0.032614	  0.00
2.5760	0.032031	  0.00
2.5771	0.031560	  0.00
2.5781	0.030685	  0.00
2.5791	0.029412	  0.00
2.5801	0.028242	  0.00
2.5810	0.028223	  0.00
2.5821	0.027583	  0.00
2.5830	0.026974	  0.00
2.5841	0.026455	  0.00
2.5851	0.025349	  0.00
2.5861	0.024809	  0.00
2.5871	0.024106	  0.00
2.5881	0.024006	  0.00
2.5891	0.022378	  0.00
2.5901	0.021920	  0.00
2.5911	0.021409	  0.00
2.5920	0.020890	  0.00
2.5931	0.020286	  0.00
2.5940	0.019203	  0.00
2.5951	0.018536	  0.00
2.5962	0.017866	  0.00
2.5971	0.016931	  0.00
2.5981	0.016520	  0.00
2.5991	0.015673	  0.00
2.6001	0.015259	  0.00
2.6011	0.014246	  0.00
2.6023	0.014008	  0.00
2.6031	0.012998	  0.00
2.6041	0.012611	  0.00
2.6052	0.012170	  0.00
2.6061	0.011677	  0.00
2.6071	0.010880	  0.00
2.6081	0.010532	  0.00
2.6091	0.0099560	  0.00
2.6101	0.0094578	  0.00
2.6112	0.0089908	  0.00
2.6120	0.0085726	  0.00
2.6132	0.0081794	  0.00
2.6142	0.0073570	  0.00
2.6151	0.0070615	  0.00
2.6160	0.0065645	  0.00
2.6171	0.0060987	  0.00
2.6181	0.0056157	  0.00
2.6191	0.0054350	  0.00
2.6200	0.0050284	  0.00
2.6211	0.0046651	  0.00
2.6221	0.0042536	  0.00
2.6231	0.0039044	  0.00
2.6240	0.0037450	  0.00
2.6251	0.0032969	  0.00
2.6261	0.0030802	  0.00
2.6271	0.0026229	  0.00
2.6281	0.0025697	  0.00
2.6291	0.0023823	  0.00
2.6301	0.0020111	  0.00
2.6308	0.0018133	  0.00
2.6320	0.0016088	  0.00
2.6331	0.0014390	  0.00
2.6341	0.0012815	  0.00
2.6350	0.0011014	  0.00
2.6361	0.00088405	  0.00
2.6371	0.00077354	  0.00
2.6381	0.00067647	  0.00
2.6391	0.00058550	  0.00
2.6401	0.00047621	  0.00
2.6412	0.00042553	  0.00
2.6420	0.00025153	  0.00
2.6429	0.00021917	  0.00
2.6440	0.00012148	  0.00
2.6451	-1.8942e-05	  0.00
2.6462	-1.2840e-05	  0.00
2.6472	-9.7708e-05	  0.00
2.6481	-0.00016915	  0.00
