 &SRS
 SRSRUN=14757,SRSDAT=201364,SRSTIM=113531,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
46.000	-0.00082310	  0.00
46.002	-0.00085485	  0.00
46.004	-0.00082615	  0.00
46.006	-0.00082676	  0.00
46.008	-0.00081150	  0.00
46.010	-0.00080661	  0.00
46.012	-0.00081761	  0.00
46.014	-0.00076692	  0.00
46.016	-0.00069182	  0.00
46.018	-0.00061000	  0.00
46.020	-0.00053306	  0.00
46.022	-0.00044269	  0.00
46.024	-0.00023692	  0.00
46.026	-1.5891e-05	  0.00
46.028	0.00030831	  0.00
46.030	0.00062274	  0.00
46.032	0.0010458	  0.00
46.034	0.0015324	  0.00
46.036	0.0021381	  0.00
46.038	0.0031455	  0.00
46.040	0.0044801	  0.00
46.042	0.0060620	  0.00
46.044	0.0088339	  0.00
46.046	0.012614	  0.00
46.048	0.018311	  0.00
46.050	0.024747	  0.00
46.052	0.031905	  0.00
46.054	0.041351	  0.00
46.056	0.055215	  0.00
46.058	0.073867	  0.00
46.060	0.094300	  0.00
46.062	0.11226	  0.00
46.064	0.12814	  0.00
46.066	0.14009	  0.00
46.068	0.14405	  0.00
46.070	0.14159	  0.00
46.072	0.13385	  0.00
46.074	0.12017	  0.00
46.076	0.099689	  0.00
46.078	0.073940	  0.00
46.080	0.053615	  0.00
46.082	0.039000	  0.00
46.084	0.026902	  0.00
46.086	0.019076	  0.00
46.088	0.013314	  0.00
46.090	0.010099	  0.00
46.092	0.0073899	  0.00
46.094	0.0053971	  0.00
46.096	0.0039551	  0.00
46.098	0.0026571	  0.00
46.100	0.0017864	  0.00
46.102	0.0011472	  0.00
46.104	0.00061114	  0.00
46.106	0.00025947	  0.00
46.108	-3.0543e-05	  0.00
46.110	-0.00020883	  0.00
46.112	-0.00032912	  0.00
46.114	-0.00049215	  0.00
46.116	-0.00059046	  0.00
46.118	-0.00068999	  0.00
46.120	-0.00063198	  0.00
46.122	-0.00080051	  0.00
46.124	-0.00083348	  0.00
46.126	-0.00085973	  0.00
46.128	-0.00094766	  0.00
46.130	-0.00088416	  0.00
46.132	-0.00084325	  0.00
46.134	-0.00083531	  0.00
46.136	-0.00088782	  0.00
46.138	-0.00093728	  0.00
46.140	-0.00091897	  0.00
46.142	-0.00094400	  0.00
46.144	-0.00093179	  0.00
46.146	-0.00088050	  0.00
46.148	-0.00085912	  0.00
46.150	-0.00087195	  0.00
46.152	-0.00093789	  0.00
46.154	-0.00092873	  0.00
46.156	-0.00085973	  0.00
46.158	-0.00091225	  0.00
46.160	-0.00095255	  0.00
46.162	-0.00090981	  0.00
46.164	-0.00092141	  0.00
46.166	-0.00090920	  0.00
46.168	-0.00093423	  0.00
46.170	-0.00092263	  0.00
46.172	-0.00089698	  0.00
46.174	-0.00091836	  0.00
46.176	-0.00092080	  0.00
46.178	-0.00092202	  0.00
46.180	-0.00094400	  0.00
46.182	-0.00091713	  0.00
46.184	-0.00088538	  0.00
46.186	-0.00090553	  0.00
46.188	-0.00087134	  0.00
46.190	-0.00092385	  0.00
46.192	-0.0010051	  0.00
46.194	-0.00091774	  0.00
46.196	-0.00086401	  0.00
46.198	-0.00093484	  0.00
46.200	-0.00089882	  0.00
