 &SRS
 SRSRUN=14765,SRSDAT=201364,SRSTIM=04636,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
0.16800	-0.00062221	  0.00
0.17000	-0.00060328	  0.00
0.17200	-0.00057031	  0.00
0.17400	-0.00056298	  0.00
0.17600	-0.00061611	  0.00
0.17800	-0.00057275	  0.00
0.18000	-0.00057275	  0.00
0.18200	-0.00060878	  0.00
0.18400	-0.00061855	  0.00
0.18610	-0.00061855	  0.00
0.18830	-0.00064602	  0.00
0.19000	-0.00061672	  0.00
0.19200	-0.00061672	  0.00
0.19390	-0.00076753	  0.00
0.19610	-0.00063076	  0.00
0.19800	-0.00062465	  0.00
0.20000	-0.00061122	  0.00
0.20200	-0.00061733	  0.00
0.20400	-0.00067044	  0.00
0.20600	-0.00064297	  0.00
0.20810	-0.00064541	  0.00
0.21000	-0.00067655	  0.00
0.21200	-0.00065030	  0.00
0.21400	-0.00065213	  0.00
0.21590	-0.00067289	  0.00
0.21790	-0.00066617	  0.00
0.22000	-0.00068510	  0.00
0.22200	-0.00066861	  0.00
0.22430	-0.00067472	  0.00
0.22590	-0.00064663	  0.00
0.22790	-0.00068449	  0.00
0.23000	-0.00069365	  0.00
0.23190	-0.00067289	  0.00
0.23400	-0.00062893	  0.00
0.23620	-0.00063198	  0.00
0.23800	-0.00066983	  0.00
0.24000	-0.00068327	  0.00
0.24210	-0.00069182	  0.00
0.24410	-0.00066861	  0.00
0.24570	-0.00066495	  0.00
0.24820	-0.00070281	  0.00
0.25000	-0.00068205	  0.00
0.25200	-0.00068205	  0.00
0.25400	-0.00066373	  0.00
0.25610	-0.00072907	  0.00
0.25810	-0.00071747	  0.00
0.25990	-0.00062160	  0.00
0.26200	-0.00069121	  0.00
0.26410	-0.00065030	  0.00
0.26620	-0.00068815	  0.00
0.26780	-0.00069182	  0.00
0.27000	-0.00064297	  0.00
0.27200	-0.00065701	  0.00
0.27400	-0.00070953	  0.00
0.27610	-0.00069793	  0.00
0.27790	-0.00070403	  0.00
0.28000	-0.00072052	  0.00
0.28200	-0.00069426	  0.00
0.28400	-0.00072174	  0.00
0.28610	-0.00069976	  0.00
0.28800	-0.00068999	  0.00
0.29010	-0.00067961	  0.00
0.29200	-0.00070037	  0.00
0.29400	-0.00067777	  0.00
0.29580	-0.00068388	  0.00
0.29780	-0.00069854	  0.00
0.29990	-0.00067716	  0.00
