 &SRS
 SRSRUN=14765,SRSDAT=201364,SRSTIM=04636,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
-0.20000	1.3389	  0.00
-0.19800	1.3394	  0.00
-0.19600	1.3394	  0.00
-0.19410	1.3395	  0.00
-0.19180	1.3395	  0.00
-0.19000	1.3395	  0.00
-0.18800	1.3398	  0.00
-0.18600	1.3398	  0.00
-0.18390	1.3397	  0.00
-0.18210	1.3396	  0.00
-0.18000	1.3394	  0.00
-0.17800	1.3394	  0.00
-0.17600	1.3390	  0.00
-0.17370	1.3396	  0.00
-0.17200	1.3391	  0.00
-0.17000	1.3397	  0.00
-0.16810	1.3393	  0.00
-0.16600	1.3396	  0.00
-0.16380	1.3399	  0.00
-0.16190	1.3399	  0.00
-0.16000	1.3401	  0.00
-0.15800	1.3401	  0.00
-0.15600	1.3398	  0.00
-0.15400	1.3401	  0.00
-0.15210	1.3396	  0.00
-0.15000	1.3397	  0.00
-0.14800	1.3393	  0.00
-0.14600	1.3392	  0.00
-0.14400	1.3393	  0.00
-0.14200	1.3391	  0.00
-0.14000	1.3390	  0.00
-0.13800	1.3390	  0.00
-0.13590	1.3389	  0.00
-0.13400	1.3393	  0.00
-0.13210	1.3390	  0.00
-0.13010	1.3390	  0.00
-0.12790	1.3393	  0.00
-0.12600	1.3389	  0.00
-0.12390	1.3389	  0.00
-0.12190	1.3388	  0.00
-0.11990	1.3383	  0.00
-0.11800	1.3381	  0.00
-0.11600	1.3383	  0.00
-0.11400	1.3378	  0.00
-0.11210	1.3375	  0.00
-0.11000	1.3375	  0.00
-0.10800	1.3373	  0.00
-0.10590	1.3369	  0.00
-0.10400	1.3366	  0.00
-0.10190	1.3365	  0.00
-0.10000	1.3359	  0.00
-0.098000	1.3353	  0.00
-0.096000	1.3348	  0.00
-0.093900	1.3341	  0.00
-0.092100	1.3340	  0.00
-0.089700	1.3336	  0.00
-0.088000	1.3324	  0.00
-0.086100	1.3327	  0.00
-0.084100	1.3310	  0.00
-0.082200	1.3302	  0.00
-0.080000	1.3299	  0.00
-0.078000	1.3287	  0.00
-0.075900	1.3280	  0.00
-0.074000	1.3274	  0.00
-0.072100	1.3259	  0.00
-0.070000	1.3254	  0.00
-0.068100	1.3240	  0.00
-0.065900	1.3230	  0.00
-0.064000	1.3217	  0.00
-0.061900	1.3201	  0.00
-0.060000	1.3187	  0.00
-0.058000	1.3176	  0.00
-0.056100	1.3159	  0.00
-0.054000	1.3142	  0.00
-0.052000	1.3126	  0.00
-0.050000	1.3110	  0.00
-0.048000	1.3087	  0.00
-0.046000	1.3081	  0.00
-0.043900	1.3056	  0.00
-0.042000	1.3032	  0.00
-0.039900	1.3011	  0.00
-0.038000	1.2986	  0.00
-0.036000	1.2958	  0.00
-0.033900	1.2938	  0.00
-0.032000	1.2904	  0.00
-0.030000	1.2865	  0.00
-0.028000	1.2837	  0.00
-0.026000	1.2795	  0.00
-0.024000	1.2744	  0.00
-0.021900	1.2688	  0.00
-0.020100	1.2642	  0.00
-0.018000	1.2587	  0.00
-0.015800	1.2518	  0.00
-0.014000	1.2450	  0.00
-0.012000	1.2357	  0.00
-0.010100	1.2214	  0.00
-0.0081000	1.2101	  0.00
-0.0060000	1.1906	  0.00
-0.0040000	1.1496	  0.00
-0.0021000	1.1173	  0.00
0.00010000	1.0656	  0.00
0.0019000	0.98896	  0.00
0.0040000	0.91990	  0.00
0.0059000	0.81136	  0.00
0.0080000	0.65354	  0.00
0.0099000	0.50979	  0.00
0.012000	0.41479	  0.00
0.014100	0.30748	  0.00
0.016000	0.25985	  0.00
0.018200	0.22613	  0.00
0.019900	0.18594	  0.00
0.022000	0.16915	  0.00
0.023900	0.15162	  0.00
0.026100	0.13651	  0.00
0.027900	0.12255	  0.00
0.030100	0.11507	  0.00
0.032000	0.10713	  0.00
0.034000	0.099326	  0.00
0.036000	0.092678	  0.00
0.038000	0.087245	  0.00
0.040100	0.080511	  0.00
0.042100	0.077959	  0.00
0.044000	0.073573	  0.00
0.046000	0.067678	  0.00
0.048200	0.064713	  0.00
0.050000	0.061186	  0.00
0.052000	0.058135	  0.00
0.054000	0.054119	  0.00
0.055800	0.051774	  0.00
0.057900	0.048043	  0.00
0.060000	0.046136	  0.00
0.062000	0.043753	  0.00
0.064100	0.041706	  0.00
0.066000	0.038990	  0.00
0.068100	0.037347	  0.00
0.070000	0.035468	  0.00
0.072100	0.033624	  0.00
0.074000	0.031319	  0.00
0.076000	0.030077	  0.00
0.078100	0.028409	  0.00
0.080000	0.026569	  0.00
0.082000	0.025172	  0.00
0.084000	0.023932	  0.00
0.086000	0.022601	  0.00
0.088000	0.020706	  0.00
0.090000	0.019709	  0.00
0.092000	0.018577	  0.00
0.094000	0.016911	  0.00
0.096000	0.015840	  0.00
0.097800	0.014950	  0.00
0.10010	0.013525	  0.00
0.10200	0.012777	  0.00
0.10410	0.011871	  0.00
0.10600	0.011015	  0.00
0.10790	0.0099676	  0.00
0.11000	0.0091922	  0.00
0.11200	0.0085109	  0.00
0.11400	0.0077245	  0.00
0.11610	0.0067452	  0.00
0.11790	0.0060871	  0.00
0.12010	0.0055821	  0.00
0.12200	0.0050272	  0.00
0.12400	0.0042371	  0.00
0.12610	0.0038232	  0.00
0.12800	0.0033628	  0.00
0.12990	0.0027328	  0.00
0.13190	0.0022791	  0.00
0.13410	0.0019183	  0.00
0.13610	0.0014573	  0.00
0.13830	0.0012046	  0.00
0.14000	0.00085230	  0.00
0.14200	0.00068929	  0.00
0.14400	0.00047743	  0.00
0.14600	0.00014468	  0.00
0.14800	1.1582e-05	  0.00
0.15000	-5.6799e-05	  0.00
0.15200	-0.00022593	  0.00
0.15400	-0.00036270	  0.00
0.15590	-0.00035415	  0.00
0.15780	-0.00044208	  0.00
0.16000	-0.00052024	  0.00
0.16190	-0.00050131	  0.00
0.16390	-0.00054527	  0.00
0.16610	-0.00053672	  0.00
