 &SRS
 SRSRUN=13781,SRSDAT=2013520,SRSTIM=5811,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.4281	0.0060999	  0.00
-1.4269	0.0056365	  0.00
-1.4260	0.0052750	  0.00
-1.4252	0.0048904	  0.00
-1.4238	0.0045589	  0.00
-1.4230	0.0041834	  0.00
-1.4220	0.0038317	  0.00
-1.4210	0.0035558	  0.00
-1.4200	0.0032511	  0.00
-1.4190	0.0029782	  0.00
-1.4180	0.0027346	  0.00
-1.4167	0.0024910	  0.00
-1.4160	0.0022932	  0.00
-1.4152	0.0020337	  0.00
-1.4140	0.0018670	  0.00
-1.4130	0.0016753	  0.00
-1.4120	0.0015361	  0.00
-1.4110	0.0013963	  0.00
-1.4100	0.0012290	  0.00
-1.4091	0.0011374	  0.00
-1.4081	0.00099700	  0.00
-1.4070	0.00092740	  0.00
-1.4059	0.00081445	  0.00
-1.4050	0.00069906	  0.00
-1.4040	0.00060626	  0.00
-1.4030	0.00052811	  0.00
-1.4020	0.00043775	  0.00
-1.4010	0.00033762	  0.00
-1.4000	0.00032846	  0.00
-1.3989	0.00023199	  0.00
-1.3980	0.00020451	  0.00
-1.3969	0.00012453	  0.00
-1.3961	8.1794e-05	  0.00
-1.3950	2.9895e-05	  0.00
-1.3940	-3.4819e-05	  0.00
-1.3930	-7.9390e-05	  0.00
-1.3920	-8.0615e-05	  0.00
-1.3910	-0.00016365	  0.00
-1.3900	-0.00016731	  0.00
-1.3890	-0.00019540	  0.00
-1.3879	-0.00023509	  0.00
-1.3871	-0.00027661	  0.00
-1.3861	-0.00029554	  0.00
-1.3851	-0.00030897	  0.00
-1.3841	-0.00031630	  0.00
-1.3830	-0.00036392	  0.00
-1.3820	-0.00040423	  0.00
-1.3810	-0.00039629	  0.00
-1.3800	-0.00044147	  0.00
-1.3790	-0.00039873	  0.00
-1.3780	-0.00044574	  0.00
-1.3770	-0.00048177	  0.00
-1.3759	-0.00043720	  0.00
-1.3750	-0.00051719	  0.00
-1.3739	-0.00047139	  0.00
-1.3730	-0.00050742	  0.00
-1.3720	-0.00051902	  0.00
-1.3710	-0.00055077	  0.00
-1.3700	-0.00053917	  0.00
-1.3689	-0.00055382	  0.00
-1.3680	-0.00056970	  0.00
-1.3670	-0.00055993	  0.00
-1.3661	-0.00055260	  0.00
-1.3650	-0.00059595	  0.00
-1.3641	-0.00056176	  0.00
-1.3630	-0.00059290	  0.00
-1.3620	-0.00058496	  0.00
-1.3610	-0.00059229	  0.00
-1.3600	-0.00058313	  0.00
-1.3590	-0.00059534	  0.00
-1.3582	-0.00061366	  0.00
-1.3571	-0.00061183	  0.00
-1.3562	-0.00060634	  0.00
-1.3551	-0.00060511	  0.00
-1.3539	-0.00062587	  0.00
-1.3530	-0.00064663	  0.00
-1.3520	-0.00060939	  0.00
-1.3510	-0.00061977	  0.00
-1.3500	-0.00061916	  0.00
-1.3491	-0.00061611	  0.00
-1.3480	-0.00061488	  0.00
-1.3469	-0.00065396	  0.00
-1.3460	-0.00061183	  0.00
-1.3448	-0.00065335	  0.00
-1.3440	-0.00065640	  0.00
-1.3430	-0.00060756	  0.00
-1.3420	-0.00064969	  0.00
-1.3410	-0.00063381	  0.00
-1.3400	-0.00062465	  0.00
-1.3390	-0.00064175	  0.00
-1.3380	-0.00063320	  0.00
-1.3369	-0.00065518	  0.00
-1.3360	-0.00064480	  0.00
-1.3351	-0.00063381	  0.00
-1.3342	-0.00066373	  0.00
-1.3330	-0.00069121	  0.00
-1.3320	-0.00066800	  0.00
-1.3310	-0.00067106	  0.00
-1.3300	-0.00066434	  0.00
-1.3289	-0.00065335	  0.00
-1.3280	-0.00065945	  0.00
-1.3270	-0.00066739	  0.00
-1.3260	-0.00066556	  0.00
-1.3250	-0.00063198	  0.00
-1.3239	-0.00068083	  0.00
-1.3230	-0.00066373	  0.00
-1.3220	-0.00068144	  0.00
-1.3210	-0.00063870	  0.00
-1.3200	-0.00063870	  0.00
-1.3190	-0.00065030	  0.00
-1.3180	-0.00066983	  0.00
-1.3171	-0.00065640	  0.00
-1.3161	-0.00066434	  0.00
-1.3149	-0.00065701	  0.00
-1.3139	-0.00067350	  0.00
-1.3130	-0.00069304	  0.00
-1.3120	-0.00069060	  0.00
-1.3110	-0.00064846	  0.00
-1.3100	-0.00066190	  0.00
-1.3090	-0.00066434	  0.00
-1.3081	-0.00064175	  0.00
-1.3074	-0.00066251	  0.00
-1.3059	-0.00067289	  0.00
-1.3051	-0.00068632	  0.00
-1.3039	-0.00065640	  0.00
-1.3030	-0.00067411	  0.00
-1.3020	-0.00066861	  0.00
-1.3010	-0.00070464	  0.00
-1.2999	-0.00065884	  0.00
