 &SRS
 SRSRUN=13781,SRSDAT=2013520,SRSTIM=5811,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.7000	1.3592	  0.00
-1.6991	1.3590	  0.00
-1.6979	1.3591	  0.00
-1.6969	1.3593	  0.00
-1.6960	1.3596	  0.00
-1.6951	1.3593	  0.00
-1.6940	1.3596	  0.00
-1.6930	1.3596	  0.00
-1.6920	1.3595	  0.00
-1.6910	1.3592	  0.00
-1.6900	1.3589	  0.00
-1.6890	1.3592	  0.00
-1.6880	1.3592	  0.00
-1.6869	1.3592	  0.00
-1.6860	1.3589	  0.00
-1.6851	1.3591	  0.00
-1.6842	1.3589	  0.00
-1.6829	1.3586	  0.00
-1.6820	1.3584	  0.00
-1.6810	1.3586	  0.00
-1.6800	1.3585	  0.00
-1.6790	1.3585	  0.00
-1.6780	1.3585	  0.00
-1.6770	1.3584	  0.00
-1.6760	1.3580	  0.00
-1.6750	1.3578	  0.00
-1.6740	1.3577	  0.00
-1.6730	1.3581	  0.00
-1.6720	1.3581	  0.00
-1.6710	1.3578	  0.00
-1.6700	1.3575	  0.00
-1.6691	1.3577	  0.00
-1.6681	1.3578	  0.00
-1.6671	1.3577	  0.00
-1.6658	1.3577	  0.00
-1.6650	1.3581	  0.00
-1.6641	1.3578	  0.00
-1.6630	1.3573	  0.00
-1.6620	1.3570	  0.00
-1.6610	1.3569	  0.00
-1.6600	1.3567	  0.00
-1.6590	1.3565	  0.00
-1.6581	1.3567	  0.00
-1.6572	1.3567	  0.00
-1.6561	1.3564	  0.00
-1.6550	1.3560	  0.00
-1.6539	1.3558	  0.00
-1.6530	1.3553	  0.00
-1.6519	1.3555	  0.00
-1.6510	1.3555	  0.00
-1.6499	1.3554	  0.00
-1.6489	1.3552	  0.00
-1.6479	1.3555	  0.00
-1.6470	1.3552	  0.00
-1.6463	1.3552	  0.00
-1.6450	1.3545	  0.00
-1.6441	1.3542	  0.00
-1.6430	1.3542	  0.00
-1.6420	1.3542	  0.00
-1.6410	1.3542	  0.00
-1.6400	1.3537	  0.00
-1.6391	1.3529	  0.00
-1.6382	1.3532	  0.00
-1.6370	1.3531	  0.00
-1.6362	1.3530	  0.00
-1.6351	1.3529	  0.00
-1.6340	1.3519	  0.00
-1.6329	1.3522	  0.00
-1.6320	1.3519	  0.00
-1.6310	1.3516	  0.00
-1.6300	1.3513	  0.00
-1.6290	1.3508	  0.00
-1.6279	1.3507	  0.00
-1.6271	1.3504	  0.00
-1.6261	1.3503	  0.00
-1.6251	1.3495	  0.00
-1.6241	1.3490	  0.00
-1.6230	1.3486	  0.00
-1.6220	1.3481	  0.00
-1.6210	1.3475	  0.00
-1.6201	1.3471	  0.00
-1.6190	1.3464	  0.00
-1.6181	1.3453	  0.00
-1.6171	1.3448	  0.00
-1.6160	1.3439	  0.00
-1.6152	1.3433	  0.00
-1.6140	1.3426	  0.00
-1.6130	1.3418	  0.00
-1.6120	1.3410	  0.00
-1.6110	1.3397	  0.00
-1.6100	1.3388	  0.00
-1.6089	1.3381	  0.00
-1.6081	1.3368	  0.00
-1.6071	1.3356	  0.00
-1.6060	1.3340	  0.00
-1.6050	1.3330	  0.00
-1.6039	1.3313	  0.00
-1.6030	1.3296	  0.00
-1.6020	1.3282	  0.00
-1.6010	1.3263	  0.00
-1.5999	1.3248	  0.00
-1.5989	1.3230	  0.00
-1.5979	1.3217	  0.00
-1.5970	1.3193	  0.00
-1.5959	1.3168	  0.00
-1.5950	1.3147	  0.00
-1.5940	1.3124	  0.00
-1.5930	1.3098	  0.00
-1.5920	1.3070	  0.00
-1.5910	1.3045	  0.00
-1.5900	1.3015	  0.00
-1.5890	1.2988	  0.00
-1.5880	1.2959	  0.00
-1.5870	1.2934	  0.00
-1.5861	1.2902	  0.00
-1.5849	1.2862	  0.00
-1.5840	1.2821	  0.00
-1.5830	1.2781	  0.00
-1.5820	1.2744	  0.00
-1.5810	1.2703	  0.00
-1.5800	1.2660	  0.00
-1.5790	1.2622	  0.00
-1.5780	1.2571	  0.00
-1.5771	1.2526	  0.00
-1.5760	1.2467	  0.00
-1.5750	1.2415	  0.00
-1.5739	1.2358	  0.00
-1.5730	1.2299	  0.00
-1.5720	1.2252	  0.00
-1.5710	1.2186	  0.00
-1.5700	1.2128	  0.00
-1.5689	1.2042	  0.00
-1.5680	1.1985	  0.00
-1.5669	1.1925	  0.00
-1.5661	1.1842	  0.00
-1.5650	1.1775	  0.00
-1.5639	1.1691	  0.00
-1.5630	1.1593	  0.00
-1.5620	1.1520	  0.00
-1.5610	1.1424	  0.00
-1.5599	1.1337	  0.00
-1.5590	1.1261	  0.00
-1.5580	1.1176	  0.00
-1.5567	1.1113	  0.00
-1.5557	1.1017	  0.00
-1.5551	1.0924	  0.00
-1.5540	1.0829	  0.00
-1.5530	1.0740	  0.00
-1.5520	1.0645	  0.00
-1.5509	1.0541	  0.00
-1.5500	1.0416	  0.00
-1.5490	1.0049	  0.00
-1.5481	1.0197	  0.00
-1.5470	1.0096	  0.00
-1.5460	0.99886	  0.00
-1.5450	0.98797	  0.00
-1.5440	0.97585	  0.00
-1.5430	0.96273	  0.00
-1.5420	0.94953	  0.00
-1.5410	0.93600	  0.00
-1.5400	0.92239	  0.00
-1.5391	0.91160	  0.00
-1.5380	0.89654	  0.00
-1.5370	0.88440	  0.00
-1.5361	0.86965	  0.00
-1.5350	0.85531	  0.00
-1.5341	0.84014	  0.00
-1.5330	0.82671	  0.00
-1.5320	0.81331	  0.00
-1.5310	0.79864	  0.00
-1.5300	0.78361	  0.00
-1.5290	0.76902	  0.00
-1.5281	0.75135	  0.00
-1.5269	0.73866	  0.00
-1.5261	0.72219	  0.00
-1.5249	0.70721	  0.00
-1.5240	0.69237	  0.00
-1.5230	0.67557	  0.00
-1.5220	0.66042	  0.00
-1.5210	0.64455	  0.00
-1.5199	0.63310	  0.00
-1.5190	0.61715	  0.00
-1.5180	0.60132	  0.00
-1.5169	0.58777	  0.00
-1.5161	0.57193	  0.00
-1.5152	0.55703	  0.00
-1.5139	0.54448	  0.00
-1.5130	0.52868	  0.00
-1.5120	0.51606	  0.00
-1.5110	0.50039	  0.00
-1.5100	0.48598	  0.00
-1.5090	0.47201	  0.00
-1.5079	0.45897	  0.00
-1.5069	0.44718	  0.00
-1.5060	0.43086	  0.00
-1.5050	0.41885	  0.00
-1.5040	0.40431	  0.00
-1.5030	0.39101	  0.00
-1.5020	0.37909	  0.00
-1.5010	0.36802	  0.00
-1.5000	0.35483	  0.00
-1.4989	0.34356	  0.00
-1.4979	0.33235	  0.00
-1.4971	0.31971	  0.00
-1.4960	0.30846	  0.00
-1.4948	0.29760	  0.00
-1.4943	0.28705	  0.00
-1.4931	0.27578	  0.00
-1.4920	0.26542	  0.00
-1.4910	0.25504	  0.00
-1.4900	0.24516	  0.00
-1.4891	0.23639	  0.00
-1.4884	0.22746	  0.00
-1.4872	0.21709	  0.00
-1.4861	0.20855	  0.00
-1.4851	0.19931	  0.00
-1.4840	0.18979	  0.00
-1.4830	0.18205	  0.00
-1.4820	0.17322	  0.00
-1.4810	0.16589	  0.00
-1.4799	0.15843	  0.00
-1.4791	0.15242	  0.00
-1.4781	0.14406	  0.00
-1.4772	0.13777	  0.00
-1.4758	0.13168	  0.00
-1.4750	0.12530	  0.00
-1.4740	0.11899	  0.00
-1.4730	0.11384	  0.00
-1.4720	0.10829	  0.00
-1.4710	0.10230	  0.00
-1.4699	0.097312	  0.00
-1.4690	0.092685	  0.00
-1.4679	0.087482	  0.00
-1.4670	0.083277	  0.00
-1.4660	0.078986	  0.00
-1.4650	0.073962	  0.00
-1.4640	0.069549	  0.00
-1.4630	0.065913	  0.00
-1.4620	0.062079	  0.00
-1.4610	0.058366	  0.00
-1.4600	0.054610	  0.00
-1.4591	0.051526	  0.00
-1.4580	0.048314	  0.00
-1.4570	0.045705	  0.00
-1.4560	0.042760	  0.00
-1.4550	0.040060	  0.00
-1.4540	0.037737	  0.00
-1.4530	0.035518	  0.00
-1.4520	0.033446	  0.00
-1.4510	0.031055	  0.00
-1.4500	0.029084	  0.00
-1.4490	0.026983	  0.00
-1.4480	0.025047	  0.00
-1.4469	0.023508	  0.00
-1.4460	0.022001	  0.00
-1.4447	0.020573	  0.00
-1.4441	0.019269	  0.00
-1.4430	0.017978	  0.00
-1.4420	0.016856	  0.00
-1.4410	0.015555	  0.00
-1.4400	0.014324	  0.00
-1.4390	0.013415	  0.00
-1.4379	0.012558	  0.00
-1.4368	0.011808	  0.00
-1.4362	0.010985	  0.00
-1.4349	0.010267	  0.00
-1.4340	0.0095048	  0.00
-1.4330	0.0088674	  0.00
-1.4320	0.0082771	  0.00
-1.4310	0.0076006	  0.00
-1.4300	0.0070132	  0.00
-1.4289	0.0065065	  0.00
