 &SRS
 SRSRUN=13777,SRSDAT=2013520,SRSTIM=45842,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
-0.11800	1.3592	  0.00
-0.11700	1.3592	  0.00
-0.11610	1.3591	  0.00
-0.11490	1.3596	  0.00
-0.11370	1.3590	  0.00
-0.11300	1.3594	  0.00
-0.11210	1.3591	  0.00
-0.11120	1.3594	  0.00
-0.11000	1.3591	  0.00
-0.10900	1.3592	  0.00
-0.10800	1.3590	  0.00
-0.10700	1.3593	  0.00
-0.10600	1.3596	  0.00
-0.10500	1.3592	  0.00
-0.10430	1.3593	  0.00
-0.10300	1.3593	  0.00
-0.10200	1.3591	  0.00
-0.10090	1.3588	  0.00
-0.099900	1.3586	  0.00
-0.098900	1.3589	  0.00
-0.098000	1.3587	  0.00
-0.097100	1.3589	  0.00
-0.096000	1.3587	  0.00
-0.095100	1.3588	  0.00
-0.093800	1.3586	  0.00
-0.092900	1.3587	  0.00
-0.092000	1.3587	  0.00
-0.091100	1.3580	  0.00
-0.090000	1.3582	  0.00
-0.089000	1.3581	  0.00
-0.088000	1.3579	  0.00
-0.087000	1.3581	  0.00
-0.086000	1.3581	  0.00
-0.085000	1.3582	  0.00
-0.084000	1.3583	  0.00
-0.082800	1.3582	  0.00
-0.082100	1.3584	  0.00
-0.081000	1.3579	  0.00
-0.079900	1.3585	  0.00
-0.079000	1.3580	  0.00
-0.078000	1.3582	  0.00
-0.076800	1.3582	  0.00
-0.076000	1.3580	  0.00
-0.075100	1.3578	  0.00
-0.074100	1.3580	  0.00
-0.072900	1.3580	  0.00
-0.072000	1.3578	  0.00
-0.071000	1.3583	  0.00
-0.070000	1.3587	  0.00
-0.069000	1.3584	  0.00
-0.068000	1.3586	  0.00
-0.067000	1.3584	  0.00
-0.066000	1.3582	  0.00
-0.065000	1.3584	  0.00
-0.063900	1.3581	  0.00
-0.063000	1.3582	  0.00
-0.062200	1.3583	  0.00
-0.061100	1.3584	  0.00
-0.059900	1.3582	  0.00
-0.059000	1.3581	  0.00
-0.058000	1.3580	  0.00
-0.057000	1.3582	  0.00
-0.056000	1.3576	  0.00
-0.055100	1.3579	  0.00
-0.054000	1.3580	  0.00
-0.053300	1.3576	  0.00
-0.052100	1.3577	  0.00
-0.051100	1.3574	  0.00
-0.050000	1.3571	  0.00
-0.049000	1.3572	  0.00
-0.048100	1.3570	  0.00
-0.047000	1.3574	  0.00
-0.046000	1.3571	  0.00
-0.044700	1.3573	  0.00
-0.044000	1.3573	  0.00
-0.043100	1.3570	  0.00
-0.041900	1.3570	  0.00
-0.040800	1.3569	  0.00
-0.040100	1.3566	  0.00
-0.039000	1.3565	  0.00
-0.038000	1.3566	  0.00
-0.037000	1.3562	  0.00
-0.035900	1.3564	  0.00
-0.035000	1.3560	  0.00
-0.034000	1.3560	  0.00
-0.033000	1.3557	  0.00
-0.032000	1.3556	  0.00
-0.030700	1.3551	  0.00
-0.030100	1.3552	  0.00
-0.028900	1.3550	  0.00
-0.028000	1.3547	  0.00
-0.027000	1.3550	  0.00
-0.026000	1.3544	  0.00
-0.024800	1.3547	  0.00
-0.023800	1.3545	  0.00
-0.023000	1.3544	  0.00
-0.022100	1.3537	  0.00
-0.021000	1.3537	  0.00
-0.020000	1.3536	  0.00
-0.019100	1.3534	  0.00
-0.018000	1.3533	  0.00
-0.017000	1.3528	  0.00
-0.016000	1.3529	  0.00
-0.015000	1.3523	  0.00
-0.014100	1.3519	  0.00
-0.012600	1.3512	  0.00
-0.012000	1.3513	  0.00
-0.011000	1.3508	  0.00
-0.010000	1.3503	  0.00
-0.0089000	1.3500	  0.00
-0.0081000	1.3495	  0.00
-0.0070000	1.3492	  0.00
-0.0060000	1.3492	  0.00
-0.0048000	1.3487	  0.00
-0.0039000	1.3184	  0.00
-0.0029000	1.3144	  0.00
-0.0020000	1.3141	  0.00
-0.0010000	1.3133	  0.00
0.0000	1.3464	  0.00
0.0010000	1.3148	  0.00
0.0019000	1.3213	  0.00
0.0030000	1.3176	  0.00
0.0040000	1.3150	  0.00
0.0053000	1.3470	  0.00
0.0059000	1.3153	  0.00
0.0070000	1.3464	  0.00
0.0078000	1.3177	  0.00
0.0090000	1.3138	  0.00
0.0099000	1.3460	  0.00
0.011000	1.3188	  0.00
0.012000	1.3168	  0.00
0.013000	1.3205	  0.00
0.014000	1.3164	  0.00
0.015100	1.3456	  0.00
0.015900	1.3153	  0.00
0.016900	1.3460	  0.00
0.018000	1.3466	  0.00
0.019000	1.3172	  0.00
0.020000	1.3465	  0.00
0.021000	1.3162	  0.00
0.022000	1.3118	  0.00
0.023000	1.3461	  0.00
0.023900	1.3177	  0.00
0.025100	1.3105	  0.00
0.026000	1.3164	  0.00
0.027100	1.3105	  0.00
0.028100	1.3097	  0.00
0.029200	1.3161	  0.00
0.030000	1.3153	  0.00
0.031000	1.3097	  0.00
0.032000	1.3438	  0.00
0.033000	1.3432	  0.00
0.034000	1.3434	  0.00
0.035000	1.3430	  0.00
0.036000	1.3423	  0.00
0.037400	1.3073	  0.00
0.038100	1.3417	  0.00
0.039000	1.3409	  0.00
0.040000	1.3406	  0.00
0.041000	1.3404	  0.00
0.042000	1.3396	  0.00
0.043100	1.3392	  0.00
0.044000	1.3381	  0.00
0.045000	1.3366	  0.00
0.046100	1.3362	  0.00
0.047200	1.3344	  0.00
0.048000	1.3325	  0.00
0.049100	1.3319	  0.00
0.050000	1.3305	  0.00
0.051000	1.3286	  0.00
0.052000	1.3276	  0.00
0.053100	1.3253	  0.00
0.054000	1.3232	  0.00
0.055000	1.3230	  0.00
0.056300	1.3207	  0.00
0.057000	1.3185	  0.00
0.058100	1.3174	  0.00
0.058500	1.3159	  0.00
0.060000	1.3140	  0.00
0.061000	1.3113	  0.00
0.061900	1.3095	  0.00
0.063100	1.3073	  0.00
0.064100	1.3043	  0.00
0.064800	1.3014	  0.00
0.066100	1.3007	  0.00
0.067100	1.2970	  0.00
0.068000	1.2938	  0.00
0.069000	1.2926	  0.00
0.070000	1.2881	  0.00
0.071000	1.2867	  0.00
0.072000	1.2826	  0.00
0.073100	1.2768	  0.00
0.074000	1.2754	  0.00
0.075200	1.2686	  0.00
0.076200	1.2617	  0.00
0.076700	1.2531	  0.00
0.078000	1.2520	  0.00
0.079000	1.2411	  0.00
0.080000	1.2365	  0.00
0.081000	1.2241	  0.00
0.082100	1.2135	  0.00
0.083000	1.2031	  0.00
0.084000	1.1822	  0.00
0.085000	1.1731	  0.00
0.086100	1.1483	  0.00
0.087100	1.1103	  0.00
0.088100	1.0860	  0.00
0.089000	1.0645	  0.00
0.090000	1.0285	  0.00
0.091000	0.99366	  0.00
0.092000	0.96283	  0.00
0.093000	0.89751	  0.00
0.094000	0.87174	  0.00
0.095000	0.80104	  0.00
0.096100	0.71798	  0.00
0.097200	0.66950	  0.00
0.098100	0.58036	  0.00
0.099200	0.50675	  0.00
0.10000	0.48715	  0.00
0.10100	0.40624	  0.00
0.10200	0.38408	  0.00
0.10300	0.33676	  0.00
0.10400	0.29989	  0.00
0.10480	0.29081	  0.00
0.10620	0.25617	  0.00
0.10680	0.22506	  0.00
0.10800	0.21853	  0.00
0.10900	0.19385	  0.00
0.11010	0.17713	  0.00
0.11100	0.17283	  0.00
0.11190	0.15390	  0.00
0.11290	0.15016	  0.00
0.11400	0.14007	  0.00
0.11500	0.13233	  0.00
0.11610	0.12599	  0.00
0.11700	0.12134	  0.00
0.11790	0.11570	  0.00
0.11900	0.11353	  0.00
0.12000	0.10769	  0.00
0.12100	0.10326	  0.00
0.12200	0.10191	  0.00
0.12300	0.097975	  0.00
0.12410	0.096129	  0.00
0.12500	0.092301	  0.00
0.12630	0.088502	  0.00
0.12710	0.086848	  0.00
0.12800	0.083182	  0.00
0.12930	0.079700	  0.00
0.13000	0.079338	  0.00
0.13100	0.075782	  0.00
0.13200	0.073271	  0.00
0.13300	0.072337	  0.00
0.13400	0.069371	  0.00
0.13480	0.068109	  0.00
0.13590	0.065990	  0.00
0.13720	0.063568	  0.00
0.13780	0.062551	  0.00
0.13910	0.060366	  0.00
0.14000	0.058610	  0.00
0.14100	0.057585	  0.00
0.14200	0.055364	  0.00
0.14310	0.054585	  0.00
0.14410	0.052882	  0.00
0.14510	0.051150	  0.00
0.14550	0.050228	  0.00
0.14690	0.048637	  0.00
0.14790	0.046884	  0.00
0.14890	0.046141	  0.00
0.15000	0.044551	  0.00
0.15100	0.043058	  0.00
0.15200	0.042540	  0.00
0.15300	0.040807	  0.00
0.15420	0.040123	  0.00
0.15470	0.038924	  0.00
0.15630	0.037648	  0.00
0.15730	0.036702	  0.00
0.15800	0.035409	  0.00
0.15900	0.034378	  0.00
0.15980	0.033967	  0.00
0.16100	0.032500	  0.00
0.16200	0.032059	  0.00
0.16290	0.030938	  0.00
0.16400	0.029932	  0.00
0.16500	0.029395	  0.00
0.16610	0.028306	  0.00
0.16680	0.027107	  0.00
0.16830	0.026898	  0.00
0.16890	0.025859	  0.00
0.17000	0.024869	  0.00
0.17090	0.024441	  0.00
0.17200	0.023484	  0.00
0.17300	0.022911	  0.00
0.17420	0.022017	  0.00
0.17500	0.021122	  0.00
0.17630	0.020529	  0.00
0.17690	0.019755	  0.00
0.17810	0.018992	  0.00
0.17890	0.018673	  0.00
0.17990	0.017685	  0.00
0.18100	0.017336	  0.00
0.18210	0.016660	  0.00
0.18300	0.015906	  0.00
0.18400	0.015574	  0.00
0.18480	0.014879	  0.00
0.18620	0.014200	  0.00
0.18690	0.013957	  0.00
0.18800	0.013298	  0.00
0.18900	0.012859	  0.00
0.19000	0.012221	  0.00
0.19100	0.011641	  0.00
0.19200	0.011338	  0.00
0.19300	0.010756	  0.00
0.19410	0.010216	  0.00
0.19500	0.0099860	  0.00
0.19610	0.0094548	  0.00
0.19690	0.0089145	  0.00
0.19800	0.0087814	  0.00
0.19910	0.0082368	  0.00
0.20000	0.0079730	  0.00
0.20100	0.0074510	  0.00
0.20200	0.0069308	  0.00
0.20300	0.0068557	  0.00
0.20400	0.0063813	  0.00
0.20490	0.0061017	  0.00
0.20620	0.0057665	  0.00
0.20700	0.0053697	  0.00
0.20790	0.0052311	  0.00
0.20890	0.0048336	  0.00
0.21000	0.0044404	  0.00
0.21100	0.0043183	  0.00
0.21200	0.0039111	  0.00
0.21300	0.0037566	  0.00
0.21400	0.0034611	  0.00
0.21500	0.0031302	  0.00
0.21620	0.0029049	  0.00
0.21700	0.0026625	  0.00
0.21820	0.0023585	  0.00
0.21890	0.0022456	  0.00
0.22000	0.0019281	  0.00
0.22100	0.0018426	  0.00
0.22200	0.0016124	  0.00
0.22310	0.0013914	  0.00
0.22400	0.0013328	  0.00
0.22490	0.0010813	  0.00
0.22600	0.00092374	  0.00
0.22690	0.00087001	  0.00
0.22800	0.00070211	  0.00
0.22890	0.00061786	  0.00
0.22990	0.00048903	  0.00
0.23100	0.00037913	  0.00
0.23200	0.00030709	  0.00
0.23290	0.00018986	  0.00
0.23400	7.4470e-05	  0.00
0.23500	3.6003e-05	  0.00
0.23640	-6.4128e-05	  0.00
0.23690	-0.00012213	  0.00
0.23810	-0.00013556	  0.00
0.23900	-0.00016121	  0.00
0.24000	-0.00021860	  0.00
0.24100	-0.00028577	  0.00
0.24200	-0.00035171	  0.00
0.24300	-0.00035782	  0.00
0.24400	-0.00034744	  0.00
0.24500	-0.00040423	  0.00
0.24600	-0.00041094	  0.00
0.24720	-0.00041338	  0.00
0.24800	-0.00043414	  0.00
0.24890	-0.00045185	  0.00
0.25000	-0.00046101	  0.00
0.25100	-0.00045368	  0.00
0.25200	-0.00049093	  0.00
0.25300	-0.00050559	  0.00
0.25410	-0.00048666	  0.00
0.25480	-0.00050681	  0.00
0.25600	-0.00055016	  0.00
0.25710	-0.00053367	  0.00
0.25790	-0.00053367	  0.00
0.25940	-0.00053001	  0.00
0.25990	-0.00051108	  0.00
0.26100	-0.00053978	  0.00
0.26200	-0.00054283	  0.00
0.26290	-0.00055138	  0.00
0.26400	-0.00054405	  0.00
0.26510	-0.00055382	  0.00
0.26590	-0.00055138	  0.00
0.26680	-0.00057886	  0.00
0.26790	-0.00054833	  0.00
0.26900	-0.00055565	  0.00
0.27000	-0.00059046	  0.00
0.27100	-0.00057336	  0.00
0.27200	-0.00058924	  0.00
0.27290	-0.00058130	  0.00
0.27400	-0.00058374	  0.00
0.27510	-0.00057947	  0.00
0.27600	-0.00057031	  0.00
0.27730	-0.00057458	  0.00
0.27800	-0.00056298	  0.00
0.27900	-0.00058985	  0.00
0.28000	-0.00059534	  0.00
0.28100	-0.00058985	  0.00
0.28190	-0.00061244	  0.00
0.28300	-0.00060450	  0.00
0.28400	-0.00057275	  0.00
0.28510	-0.00058985	  0.00
0.28600	-0.00058435	  0.00
0.28700	-0.00059595	  0.00
0.28810	-0.00057580	  0.00
0.28880	-0.00061855	  0.00
0.29000	-0.00057397	  0.00
0.29100	-0.00059046	  0.00
0.29200	-0.00059229	  0.00
0.29300	-0.00061061	  0.00
0.29390	-0.00060023	  0.00
0.29490	-0.00062587	  0.00
0.29630	-0.00061611	  0.00
0.29710	-0.00061366	  0.00
0.29770	-0.00061122	  0.00
0.29900	-0.00058740	  0.00
0.30000	-0.00061977	  0.00
