 &SRS
 SRSRUN=13777,SRSDAT=2013520,SRSTIM=45842,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
-0.20010	1.3618	  0.00
-0.19900	1.3618	  0.00
-0.19800	1.3616	  0.00
-0.19700	1.3616	  0.00
-0.19610	1.3615	  0.00
-0.19490	1.3614	  0.00
-0.19440	1.3616	  0.00
-0.19290	1.3615	  0.00
-0.19190	1.3617	  0.00
-0.19110	1.3617	  0.00
-0.19000	1.3619	  0.00
-0.18890	1.3618	  0.00
-0.18800	1.3617	  0.00
-0.18700	1.3619	  0.00
-0.18600	1.3618	  0.00
-0.18510	1.3622	  0.00
-0.18400	1.3616	  0.00
-0.18300	1.3620	  0.00
-0.18200	1.3618	  0.00
-0.18100	1.3619	  0.00
-0.18000	1.3613	  0.00
-0.17900	1.3613	  0.00
-0.17800	1.3612	  0.00
-0.17700	1.3614	  0.00
-0.17600	1.3612	  0.00
-0.17480	1.3616	  0.00
-0.17380	1.3613	  0.00
-0.17270	1.3610	  0.00
-0.17210	1.3612	  0.00
-0.17120	1.3613	  0.00
-0.17000	1.3612	  0.00
-0.16900	1.3611	  0.00
-0.16800	1.3614	  0.00
-0.16690	1.3610	  0.00
-0.16600	1.3611	  0.00
-0.16510	1.3610	  0.00
-0.16410	1.3609	  0.00
-0.16290	1.3607	  0.00
-0.16200	1.3609	  0.00
-0.16090	1.3606	  0.00
-0.16000	1.3606	  0.00
-0.15900	1.3606	  0.00
-0.15800	1.3603	  0.00
-0.15700	1.3602	  0.00
-0.15600	1.3606	  0.00
-0.15500	1.3606	  0.00
-0.15410	1.3604	  0.00
-0.15300	1.3606	  0.00
-0.15180	1.3605	  0.00
-0.15100	1.3605	  0.00
-0.15000	1.3606	  0.00
-0.14900	1.3606	  0.00
-0.14800	1.3602	  0.00
-0.14700	1.3601	  0.00
-0.14610	1.3599	  0.00
-0.14520	1.3599	  0.00
-0.14410	1.3597	  0.00
-0.14320	1.3601	  0.00
-0.14200	1.3599	  0.00
-0.14100	1.3603	  0.00
-0.14000	1.3601	  0.00
-0.13900	1.3604	  0.00
-0.13800	1.3603	  0.00
-0.13690	1.3599	  0.00
-0.13610	1.3597	  0.00
-0.13510	1.3598	  0.00
-0.13400	1.3602	  0.00
-0.13300	1.3597	  0.00
-0.13210	1.3600	  0.00
-0.13100	1.3595	  0.00
-0.13010	1.3597	  0.00
-0.12900	1.3597	  0.00
-0.12800	1.3598	  0.00
-0.12700	1.3594	  0.00
-0.12610	1.3598	  0.00
-0.12500	1.3593	  0.00
-0.12400	1.3593	  0.00
-0.12300	1.3596	  0.00
-0.12210	1.3596	  0.00
-0.12100	1.3595	  0.00
-0.12000	1.3596	  0.00
-0.11890	1.3594	  0.00
