 &SRS
 SRSRUN=14766,SRSDAT=201364,SRSTIM=04841,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
-0.20000	1.3350	  0.00
-0.19800	1.3349	  0.00
-0.19590	1.3348	  0.00
-0.19390	1.3351	  0.00
-0.19210	1.3348	  0.00
-0.19010	1.3348	  0.00
-0.18790	1.3345	  0.00
-0.18600	1.3348	  0.00
-0.18400	1.3346	  0.00
-0.18190	1.3345	  0.00
-0.18000	1.3352	  0.00
-0.17790	1.3348	  0.00
-0.17610	1.3349	  0.00
-0.17400	1.3347	  0.00
-0.17220	1.3345	  0.00
-0.17010	1.3351	  0.00
-0.16800	1.3349	  0.00
-0.16590	1.3347	  0.00
-0.16400	1.3348	  0.00
-0.16190	1.3345	  0.00
-0.15990	1.3347	  0.00
-0.15800	1.3354	  0.00
-0.15590	1.3346	  0.00
-0.15380	1.3347	  0.00
-0.15200	1.3343	  0.00
-0.14990	1.3345	  0.00
-0.14800	1.3341	  0.00
-0.14610	1.3343	  0.00
-0.14400	1.3338	  0.00
-0.14200	1.3338	  0.00
-0.14010	1.3340	  0.00
-0.13800	1.3342	  0.00
-0.13600	1.3340	  0.00
-0.13410	1.3341	  0.00
-0.13210	1.3342	  0.00
-0.12990	1.3345	  0.00
-0.12800	1.3335	  0.00
-0.12600	1.3338	  0.00
-0.12400	1.3333	  0.00
-0.12200	1.3333	  0.00
-0.12000	1.3333	  0.00
-0.11800	1.3335	  0.00
-0.11610	1.3331	  0.00
-0.11410	1.3329	  0.00
-0.11200	1.3328	  0.00
-0.11000	1.3324	  0.00
-0.10800	1.3326	  0.00
-0.10610	1.3321	  0.00
-0.10410	1.3320	  0.00
-0.10220	1.3315	  0.00
-0.10000	1.3307	  0.00
-0.098000	1.3303	  0.00
-0.096000	1.3298	  0.00
-0.094000	1.3296	  0.00
-0.092100	1.3295	  0.00
-0.090000	1.3281	  0.00
-0.088000	1.3282	  0.00
-0.086000	1.3273	  0.00
-0.084000	1.3266	  0.00
-0.081800	1.3257	  0.00
-0.080000	1.3250	  0.00
-0.077900	1.3241	  0.00
-0.075900	1.3234	  0.00
-0.074200	1.3227	  0.00
-0.071900	1.3216	  0.00
-0.070000	1.3206	  0.00
-0.068000	1.3189	  0.00
-0.066000	1.3174	  0.00
-0.064000	1.3161	  0.00
-0.062000	1.3146	  0.00
-0.060000	1.3132	  0.00
-0.058000	1.3124	  0.00
-0.056000	1.3114	  0.00
-0.053900	1.3099	  0.00
-0.051900	1.3079	  0.00
-0.050000	1.3066	  0.00
-0.048000	1.3050	  0.00
-0.046000	1.3023	  0.00
-0.044000	1.3006	  0.00
-0.041800	1.2980	  0.00
-0.040000	1.2961	  0.00
-0.038000	1.2930	  0.00
