 &SRS
 SRSRUN=14744,SRSDAT=201364,SRSTIM=102734,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
49.900	-0.00096598	  0.00
49.902	-0.00094095	  0.00
49.904	-0.00089821	  0.00
49.906	-0.00092446	  0.00
49.908	-0.00090065	  0.00
49.910	-0.00097331	  0.00
49.912	-0.00094827	  0.00
49.914	-0.00092446	  0.00
49.916	-0.00094766	  0.00
49.918	-0.00095316	  0.00
49.920	-0.00092629	  0.00
49.922	-0.00095255	  0.00
49.924	-0.00096110	  0.00
49.926	-0.00095865	  0.00
49.928	-0.00095010	  0.00
49.930	-0.00098369	  0.00
49.932	-0.00092996	  0.00
49.934	-0.00094766	  0.00
49.936	-0.00097392	  0.00
49.938	-0.00094400	  0.00
49.940	-0.00093301	  0.00
49.942	-0.00094339	  0.00
49.944	-0.00093911	  0.00
49.946	-0.00093728	  0.00
49.948	-0.00096049	  0.00
49.950	-0.00095926	  0.00
49.952	-0.00093179	  0.00
49.954	-0.00097026	  0.00
49.956	-0.00096903	  0.00
49.958	-0.00096659	  0.00
49.960	-0.00095377	  0.00
49.962	-0.00093606	  0.00
49.964	-0.00091286	  0.00
49.966	-0.00092080	  0.00
49.968	-0.00096659	  0.00
49.970	-0.00092629	  0.00
49.972	-0.00092080	  0.00
49.974	-0.00095804	  0.00
49.976	-0.00096048	  0.00
49.978	-0.00093728	  0.00
49.980	-0.00095010	  0.00
49.982	-0.00092507	  0.00
49.984	-0.00093972	  0.00
49.986	-0.00093789	  0.00
49.988	-0.00095133	  0.00
49.990	-0.00093972	  0.00
49.992	-0.00093972	  0.00
49.994	-0.00096110	  0.00
49.996	-0.00092873	  0.00
49.998	-0.00095987	  0.00
50.000	-0.00094583	  0.00
50.002	-0.00095682	  0.00
50.004	-0.00096232	  0.00
50.006	-0.00094766	  0.00
50.008	-0.00093179	  0.00
50.010	-0.00092080	  0.00
50.012	-0.00095621	  0.00
50.014	-0.00095071	  0.00
50.016	-0.00095194	  0.00
50.018	-0.00095194	  0.00
50.020	-0.00097087	  0.00
50.022	-0.00095560	  0.00
50.024	-0.00095438	  0.00
50.026	-0.00094217	  0.00
50.028	-0.00092141	  0.00
50.030	-0.00095682	  0.00
50.032	-0.00094461	  0.00
50.034	-0.00092812	  0.00
50.036	-0.00093850	  0.00
50.038	-0.00096903	  0.00
50.040	-0.00093545	  0.00
50.042	-0.00093179	  0.00
50.044	-0.00096537	  0.00
50.046	-0.00092202	  0.00
50.048	-0.00095010	  0.00
50.050	-0.00095560	  0.00
50.052	-0.00093301	  0.00
50.054	-0.00090859	  0.00
50.056	-0.00093301	  0.00
50.058	-0.00095804	  0.00
50.060	-0.00091836	  0.00
50.062	-0.00093362	  0.00
50.064	-0.00091286	  0.00
50.066	-0.00093789	  0.00
50.068	-0.00092080	  0.00
50.070	-0.00092141	  0.00
50.072	-0.00093850	  0.00
50.074	-0.00094034	  0.00
50.076	-0.00092568	  0.00
50.078	-0.00092751	  0.00
50.080	-0.00096171	  0.00
50.082	-0.00095194	  0.00
50.084	-0.00097514	  0.00
50.086	-0.00093545	  0.00
50.088	-0.00093057	  0.00
50.090	-0.00094583	  0.00
50.092	-0.00094095	  0.00
50.094	-0.00091836	  0.00
50.096	-0.00095010	  0.00
50.098	-0.00095987	  0.00
50.100	-0.00096659	  0.00
