 &SRS
 SRSRUN=14743,SRSDAT=201364,SRSTIM=102551,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.4700	-0.00092202	  0.00
3.4720	-0.00085119	  0.00
3.4740	-0.00087317	  0.00
3.4760	-0.00078585	  0.00
3.4780	-0.00074677	  0.00
3.4800	-0.00067838	  0.00
3.4820	-0.00056054	  0.00
3.4840	-0.00045429	  0.00
3.4861	-0.00032607	  0.00
3.4880	-9.8318e-05	  0.00
3.4900	0.00016849	  0.00
3.4919	0.00049575	  0.00
3.4940	0.00084986	  0.00
3.4960	0.0012510	  0.00
3.4980	0.0015886	  0.00
3.5000	0.0020386	  0.00
3.5021	0.0026534	  0.00
3.5040	0.0032090	  0.00
3.5060	0.0041541	  0.00
3.5080	0.0047591	  0.00
3.5100	0.0054222	  0.00
3.5120	0.0062128	  0.00
3.5140	0.0074333	  0.00
3.5160	0.0088613	  0.00
3.5180	0.010253	  0.00
3.5200	0.011020	  0.00
3.5220	0.013224	  0.00
3.5240	0.015082	  0.00
3.5260	0.016576	  0.00
3.5280	0.018898	  0.00
3.5300	0.019414	  0.00
3.5320	0.021966	  0.00
3.5340	0.022470	  0.00
3.5360	0.023501	  0.00
3.5380	0.025001	  0.00
3.5400	0.027026	  0.00
3.5420	0.027926	  0.00
3.5440	0.029546	  0.00
3.5460	0.030104	  0.00
3.5480	0.028932	  0.00
3.5500	0.030735	  0.00
3.5520	0.031484	  0.00
3.5540	0.032730	  0.00
3.5560	0.033210	  0.00
3.5580	0.033894	  0.00
3.5600	0.033398	  0.00
3.5620	0.032511	  0.00
3.5640	0.033377	  0.00
3.5659	0.032832	  0.00
3.5680	0.033003	  0.00
3.5700	0.032261	  0.00
3.5720	0.031307	  0.00
3.5740	0.030164	  0.00
3.5760	0.028386	  0.00
3.5780	0.028100	  0.00
3.5800	0.026743	  0.00
3.5821	0.025674	  0.00
3.5840	0.024601	  0.00
3.5860	0.022961	  0.00
3.5880	0.022160	  0.00
3.5900	0.020278	  0.00
3.5920	0.018654	  0.00
3.5940	0.017136	  0.00
3.5960	0.015252	  0.00
3.5980	0.013925	  0.00
3.6000	0.012150	  0.00
3.6019	0.010789	  0.00
3.6040	0.0094707	  0.00
3.6060	0.0080066	  0.00
3.6080	0.0067153	  0.00
3.6100	0.0055730	  0.00
3.6120	0.0048013	  0.00
3.6140	0.0038366	  0.00
3.6160	0.0030905	  0.00
3.6180	0.0022138	  0.00
3.6200	0.0016106	  0.00
3.6220	0.0011557	  0.00
3.6240	0.00064655	  0.00
3.6260	0.00038402	  0.00
3.6280	3.6613e-05	  0.00
3.6300	-0.00021188	  0.00
3.6320	-0.00045002	  0.00
3.6340	-0.00063381	  0.00
3.6360	-0.00075593	  0.00
3.6380	-0.00078341	  0.00
3.6400	-0.00083714	  0.00
3.6420	-0.00087134	  0.00
3.6440	-0.00091164	  0.00
3.6459	-0.00095316	  0.00
3.6480	-0.00092507	  0.00
3.6500	-0.00092202	  0.00
3.6520	-0.00094949	  0.00
3.6540	-0.00095255	  0.00
3.6560	-0.00092019	  0.00
3.6580	-0.00093911	  0.00
3.6600	-0.00092385	  0.00
3.6620	-0.00092263	  0.00
3.6640	-0.00092935	  0.00
3.6660	-0.00093667	  0.00
3.6680	-0.00091042	  0.00
3.6700	-0.00090065	  0.00
