 &SRS
 SRSRUN=14761,SRSDAT=201364,SRSTIM=115547,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
46.000	-0.00065579	  0.00
46.002	-0.00064419	  0.00
46.004	-0.00060389	  0.00
46.006	-0.00059473	  0.00
46.008	-0.00060328	  0.00
46.010	-0.00060084	  0.00
46.012	-0.00055932	  0.00
46.014	-0.00052024	  0.00
46.016	-0.00053001	  0.00
46.018	-0.00048910	  0.00
46.020	-0.00048360	  0.00
46.022	-0.00047933	  0.00
46.024	-0.00042376	  0.00
46.026	-0.00039507	  0.00
46.028	-0.00035904	  0.00
46.030	-0.00028516	  0.00
46.032	-0.00030042	  0.00
46.034	-0.00024119	  0.00
46.036	-0.00014839	  0.00
46.038	-9.1600e-05	  0.00
46.040	4.8637e-06	  0.00
46.042	0.00015812	  0.00
46.044	0.00029976	  0.00
46.046	0.00051956	  0.00
46.048	0.0010086	  0.00
46.050	0.0014714	  0.00
46.052	0.0019818	  0.00
46.054	0.0027071	  0.00
46.056	0.0033323	  0.00
46.058	0.0043531	  0.00
46.060	0.0051468	  0.00
46.062	0.0057958	  0.00
46.064	0.0061957	  0.00
46.066	0.0063093	  0.00
46.068	0.0062568	  0.00
46.070	0.0057677	  0.00
46.072	0.0052097	  0.00
46.074	0.0044789	  0.00
46.076	0.0036180	  0.00
46.078	0.0025759	  0.00
46.080	0.0017852	  0.00
46.082	0.0012522	  0.00
46.084	0.00085719	  0.00
46.086	0.00052017	  0.00
46.088	0.00028572	  0.00
46.090	0.00013186	  0.00
46.092	-3.0701e-06	  0.00
46.094	-3.6040e-05	  0.00
46.096	-9.2826e-05	  0.00
46.098	-0.00019174	  0.00
46.100	-0.00021677	  0.00
46.102	-0.00023387	  0.00
46.104	-0.00027356	  0.00
46.106	-0.00030836	  0.00
46.108	-0.00035354	  0.00
46.110	-0.00037369	  0.00
46.112	-0.00039446	  0.00
46.114	-0.00041094	  0.00
46.116	-0.00041338	  0.00
46.118	-0.00046040	  0.00
46.120	-0.00050803	  0.00
46.122	-0.00050314	  0.00
46.124	-0.00049581	  0.00
46.126	-0.00054833	  0.00
46.128	-0.00055443	  0.00
46.130	-0.00055565	  0.00
46.132	-0.00058008	  0.00
46.134	-0.00056115	  0.00
46.136	-0.00059168	  0.00
46.138	-0.00057702	  0.00
46.140	-0.00059778	  0.00
46.142	-0.00061733	  0.00
46.144	-0.00061855	  0.00
46.146	-0.00063625	  0.00
46.148	-0.00064908	  0.00
46.150	-0.00064114	  0.00
46.152	-0.00063503	  0.00
46.154	-0.00063809	  0.00
46.156	-0.00062954	  0.00
46.158	-0.00062648	  0.00
46.160	-0.00066800	  0.00
46.162	-0.00067838	  0.00
46.164	-0.00066678	  0.00
46.166	-0.00066983	  0.00
46.168	-0.00069548	  0.00
46.170	-0.00068510	  0.00
46.172	-0.00068266	  0.00
46.174	-0.00068449	  0.00
46.176	-0.00073395	  0.00
46.178	-0.00072296	  0.00
46.180	-0.00071075	  0.00
46.182	-0.00074860	  0.00
46.184	-0.00078158	  0.00
46.186	-0.00071991	  0.00
46.188	-0.00076753	  0.00
46.190	-0.00081211	  0.00
46.192	-0.00077913	  0.00
46.194	-0.00077791	  0.00
46.196	-0.00086157	  0.00
46.198	-0.00080173	  0.00
46.200	-0.00076631	  0.00
