 &SRS
 SRSRUN=13764,SRSDAT=2013520,SRSTIM=42820,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.4700	-0.00038957	  0.00
3.4800	0.00042553	  0.00
3.4900	0.0017089	  0.00
3.5000	0.0042127	  0.00
3.5100	0.0075963	  0.00
3.5200	0.013079	  0.00
3.5300	0.019860	  0.00
3.5400	0.027204	  0.00
3.5499	0.034923	  0.00
3.5600	0.041557	  0.00
3.5700	0.043961	  0.00
3.5800	0.044871	  0.00
3.5900	0.041941	  0.00
3.6000	0.035340	  0.00
3.6100	0.028125	  0.00
3.6200	0.020483	  0.00
3.6300	0.014014	  0.00
3.6400	0.0084767	  0.00
3.6500	0.0043482	  0.00
3.6600	0.0015691	  0.00
3.6700	0.00018376	  0.00
