 &SRS
 SRSRUN=14776,SRSDAT=201364,SRSTIM=13430,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
49.900	-0.00089332	  0.00
49.902	-0.00095682	  0.00
49.904	-0.00091469	  0.00
49.906	-0.00097209	  0.00
49.908	-0.00089149	  0.00
49.910	-0.00094095	  0.00
49.912	-0.00088111	  0.00
49.914	-0.00093240	  0.00
49.916	-0.00091042	  0.00
49.918	-0.00087866	  0.00
49.920	-0.00087622	  0.00
49.922	-0.00094461	  0.00
49.924	-0.00083653	  0.00
49.926	-0.00087805	  0.00
49.928	-0.00079868	  0.00
49.930	-0.00080661	  0.00
49.932	-0.00078830	  0.00
49.934	-0.00071380	  0.00
49.936	-0.00076265	  0.00
49.938	-0.00069243	  0.00
49.940	-0.00079379	  0.00
49.942	-0.00074128	  0.00
49.944	-0.00074555	  0.00
49.946	-0.00067961	  0.00
49.948	-0.00075776	  0.00
49.950	-0.00064541	  0.00
49.952	-0.00063625	  0.00
49.954	-0.00055138	  0.00
49.956	-0.00059718	  0.00
49.958	-0.00060450	  0.00
49.960	-0.00052268	  0.00
49.962	-0.00049887	  0.00
49.964	-0.00051841	  0.00
49.966	-0.00049520	  0.00
49.968	-0.00047505	  0.00
49.970	-0.00037492	  0.00
49.972	-0.00031386	  0.00
49.974	-0.00035415	  0.00
49.976	-0.00040423	  0.00
49.978	-0.00033034	  0.00
49.980	-0.00030653	  0.00
49.982	-0.00024669	  0.00
49.984	-0.00016792	  0.00
49.986	-0.00016182	  0.00
49.988	-7.6948e-05	  0.00
49.990	-1.8332e-05	  0.00
49.992	1.0967e-05	  0.00
49.994	7.2639e-05	  0.00
49.996	8.1794e-05	  0.00
49.998	0.00014590	  0.00
50.000	0.00024176	  0.00
50.002	0.00035044	  0.00
50.004	0.00040478	  0.00
50.006	0.00056901	  0.00
50.008	0.00070639	  0.00
50.010	0.00081872	  0.00
50.012	0.00094999	  0.00
50.014	0.0011594	  0.00
50.016	0.0013462	  0.00
50.018	0.0016075	  0.00
50.020	0.0018945	  0.00
50.022	0.0022590	  0.00
50.024	0.0028024	  0.00
50.026	0.0035955	  0.00
50.028	0.0044123	  0.00
50.030	0.0062287	  0.00
50.032	0.0085701	  0.00
50.034	0.012059	  0.00
50.036	0.015875	  0.00
50.038	0.020915	  0.00
50.040	0.027816	  0.00
50.042	0.034055	  0.00
50.044	0.043108	  0.00
50.046	0.052324	  0.00
50.048	0.062274	  0.00
50.050	0.066069	  0.00
50.052	0.064461	  0.00
50.054	0.056483	  0.00
50.056	0.046545	  0.00
50.058	0.035044	  0.00
50.060	0.025297	  0.00
50.062	0.017758	  0.00
50.064	0.013012	  0.00
50.066	0.0099976	  0.00
50.068	0.0079480	  0.00
50.070	0.0058447	  0.00
50.072	0.0044380	  0.00
50.074	0.0037017	  0.00
50.076	0.0030057	  0.00
50.078	0.0024702	  0.00
50.080	0.0021051	  0.00
50.082	0.0018457	  0.00
50.084	0.0015379	  0.00
50.086	0.0014580	  0.00
50.088	0.0012614	  0.00
50.090	0.0010990	  0.00
50.092	0.00094511	  0.00
50.094	0.00077660	  0.00
50.096	0.00071127	  0.00
50.098	0.00050368	  0.00
50.100	0.00048659	  0.00
