 &SRS
 SRSRUN=14745,SRSDAT=201364,SRSTIM=102944,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
49.900	-0.00093484	  0.00
49.902	-0.00096537	  0.00
49.904	-0.00091469	  0.00
49.906	-0.00097087	  0.00
49.908	-0.00093423	  0.00
49.910	-0.00093118	  0.00
49.912	-0.00095071	  0.00
49.914	-0.00094217	  0.00
49.916	-0.00095010	  0.00
49.918	-0.00095621	  0.00
49.920	-0.00093789	  0.00
49.922	-0.00095804	  0.00
49.924	-0.00093545	  0.00
49.926	-0.00090981	  0.00
49.928	-0.00095010	  0.00
49.930	-0.00093850	  0.00
49.932	-0.00096720	  0.00
49.934	-0.00093423	  0.00
49.936	-0.00094217	  0.00
49.938	-0.00097819	  0.00
49.940	-0.00093606	  0.00
49.942	-0.00095316	  0.00
49.944	-0.00093728	  0.00
49.946	-0.00094034	  0.00
49.948	-0.00097453	  0.00
49.950	-0.00095316	  0.00
49.952	-0.00091286	  0.00
49.954	-0.00091897	  0.00
49.956	-0.00093301	  0.00
49.958	-0.00095194	  0.00
49.960	-0.00089210	  0.00
49.962	-0.00092507	  0.00
49.964	-0.00091408	  0.00
49.966	-0.00088721	  0.00
49.968	-0.00096293	  0.00
49.970	-0.00090981	  0.00
49.972	-0.00093057	  0.00
49.974	-0.00092080	  0.00
49.976	-0.00093118	  0.00
49.978	-0.00091103	  0.00
49.980	-0.00091652	  0.00
49.982	-0.00091164	  0.00
49.984	-0.00094705	  0.00
49.986	-0.00089088	  0.00
49.988	-0.00090431	  0.00
49.990	-0.00091225	  0.00
49.992	-0.00091530	  0.00
49.994	-0.00087683	  0.00
49.996	-0.00082615	  0.00
49.998	-0.00083470	  0.00
50.000	-0.00080112	  0.00
50.002	-0.00073151	  0.00
50.004	-0.00067411	  0.00
50.006	-0.00058924	  0.00
50.008	-0.00049826	  0.00
50.010	-0.00034866	  0.00
50.012	-0.00017891	  0.00
50.014	4.6993e-05	  0.00
50.016	0.00024665	  0.00
50.018	0.00045301	  0.00
50.020	0.00077537	  0.00
50.022	0.0012528	  0.00
50.024	0.0020239	  0.00
50.026	0.0026723	  0.00
50.028	0.0044062	  0.00
50.030	0.0059418	  0.00
50.032	0.0084199	  0.00
50.034	0.011696	  0.00
50.036	0.015022	  0.00
50.038	0.018497	  0.00
50.040	0.023443	  0.00
50.042	0.030798	  0.00
50.044	0.040747	  0.00
50.046	0.048999	  0.00
50.048	0.054312	  0.00
50.050	0.051475	  0.00
50.052	0.043676	  0.00
50.054	0.034989	  0.00
50.056	0.025118	  0.00
50.058	0.017375	  0.00
50.060	0.011959	  0.00
50.062	0.0086367	  0.00
50.064	0.0057226	  0.00
50.066	0.0044697	  0.00
50.068	0.0029892	  0.00
50.070	0.0018267	  0.00
50.072	0.00097014	  0.00
50.074	0.00049269	  0.00
50.076	0.00013980	  0.00
50.078	-0.00010198	  0.00
50.080	-0.00032423	  0.00
50.082	-0.00046834	  0.00
50.084	-0.00057947	  0.00
50.086	-0.00064358	  0.00
50.088	-0.00073395	  0.00
50.090	-0.00076509	  0.00
50.092	-0.00081089	  0.00
50.094	-0.00086340	  0.00
50.096	-0.00087134	  0.00
50.098	-0.00090065	  0.00
50.100	-0.00089210	  0.00
