 &SRS
 SRSRUN=14742,SRSDAT=201364,SRSTIM=10248,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.4700	-0.00093179	  0.00
3.4719	-0.00094461	  0.00
3.4740	-0.00094217	  0.00
3.4759	-0.00093118	  0.00
3.4780	-0.00093972	  0.00
3.4799	-0.00091774	  0.00
3.4820	-0.00090859	  0.00
3.4840	-0.00092873	  0.00
3.4860	-0.0010014	  0.00
3.4880	-0.00094400	  0.00
3.4900	-0.00093240	  0.00
3.4919	-0.00095621	  0.00
3.4940	-0.00092996	  0.00
3.4960	-0.00092324	  0.00
3.4980	-0.00094278	  0.00
3.5000	-0.00090981	  0.00
3.5019	-0.00095804	  0.00
3.5040	-0.00091347	  0.00
3.5060	-0.00092141	  0.00
3.5080	-0.00092873	  0.00
3.5100	-0.00092019	  0.00
3.5120	-0.00096476	  0.00
3.5140	-0.00095743	  0.00
3.5160	-0.00090920	  0.00
3.5180	-0.00092385	  0.00
3.5200	-0.00094095	  0.00
3.5220	-0.00090859	  0.00
3.5240	-0.00093606	  0.00
3.5259	-0.00098858	  0.00
3.5280	-0.00093118	  0.00
3.5300	-0.00099163	  0.00
3.5320	-0.00089454	  0.00
3.5340	-0.00098369	  0.00
3.5359	-0.00093667	  0.00
3.5380	-0.00096232	  0.00
3.5400	-0.00095133	  0.00
3.5420	-0.00089821	  0.00
3.5440	-0.00095133	  0.00
3.5460	-0.00095133	  0.00
3.5480	-0.00090492	  0.00
3.5499	-0.00092385	  0.00
3.5520	-0.00092263	  0.00
3.5540	-0.00093179	  0.00
3.5560	-0.00090004	  0.00
3.5580	-0.00090248	  0.00
3.5600	-0.00092751	  0.00
3.5620	-0.00095438	  0.00
3.5640	-0.00097270	  0.00
3.5660	-0.00099163	  0.00
3.5680	-0.0010118	  0.00
3.5700	-0.00094156	  0.00
3.5720	-0.00090798	  0.00
3.5740	-0.00098308	  0.00
3.5760	-0.00094583	  0.00
3.5780	-0.00096476	  0.00
3.5800	-0.00094583	  0.00
3.5820	-0.00095010	  0.00
3.5839	-0.00098552	  0.00
3.5860	-0.00096659	  0.00
3.5880	-0.00094339	  0.00
3.5900	-0.00092202	  0.00
3.5920	-0.00094644	  0.00
3.5940	-0.00091347	  0.00
3.5960	-0.00085302	  0.00
3.5980	-0.00091469	  0.00
3.6000	-0.00089393	  0.00
3.6020	-0.00090004	  0.00
3.6040	-0.00091774	  0.00
3.6060	-0.00094034	  0.00
3.6080	-0.00094217	  0.00
3.6099	-0.00094217	  0.00
3.6120	-0.00094339	  0.00
3.6140	-0.00094400	  0.00
3.6160	-0.00090126	  0.00
3.6180	-0.00094217	  0.00
3.6200	-0.00089271	  0.00
3.6220	-0.00092385	  0.00
3.6240	-0.00093484	  0.00
3.6261	-0.0010161	  0.00
3.6280	-0.00097331	  0.00
3.6300	-0.00096598	  0.00
3.6320	-0.00087378	  0.00
3.6340	-0.00094034	  0.00
3.6360	-0.00088966	  0.00
3.6380	-0.00097026	  0.00
3.6400	-0.00099346	  0.00
3.6420	-0.00099590	  0.00
3.6440	-0.00098430	  0.00
3.6460	-0.00093240	  0.00
3.6480	-0.00094339	  0.00
3.6499	-0.00094217	  0.00
3.6520	-0.00090920	  0.00
3.6540	-0.00094766	  0.00
3.6559	-0.00093423	  0.00
3.6579	-0.00093850	  0.00
3.6600	-0.00089943	  0.00
3.6620	-0.00095499	  0.00
3.6640	-0.00091347	  0.00
3.6660	-0.00093118	  0.00
3.6680	-0.00092141	  0.00
3.6699	-0.00093667	  0.00
