 &SRS
 SRSRUN=13763,SRSDAT=2013520,SRSTIM=4236,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.4700	-0.00029004	  0.00
3.4710	-0.00026501	  0.00
3.4721	-0.00025280	  0.00
3.4730	-0.00015388	  0.00
3.4740	-7.2066e-05	  0.00
3.4750	1.0971e-05	  0.00
3.4760	0.00010316	  0.00
3.4770	0.00020330	  0.00
3.4780	0.00034616	  0.00
3.4790	0.00044568	  0.00
3.4800	0.00052872	  0.00
3.4810	0.00061114	  0.00
3.4820	0.00076439	  0.00
3.4830	0.00085352	  0.00
3.4839	0.00099639	  0.00
3.4850	0.0011478	  0.00
3.4860	0.0013371	  0.00
3.4870	0.0013609	  0.00
3.4879	0.0015734	  0.00
3.4890	0.0017223	  0.00
3.4900	0.0019775	  0.00
3.4910	0.0021344	  0.00
3.4921	0.0023896	  0.00
3.4930	0.0024867	  0.00
3.4940	0.0027773	  0.00
3.4950	0.0031125	  0.00
3.4960	0.0032737	  0.00
3.4970	0.0037066	  0.00
3.4980	0.0037243	  0.00
3.4990	0.0041230	  0.00
3.5000	0.0045198	  0.00
3.5010	0.0047060	  0.00
3.5019	0.0050815	  0.00
3.5029	0.0053440	  0.00
3.5040	0.0057818	  0.00
3.5050	0.0060407	  0.00
3.5060	0.0063288	  0.00
3.5070	0.0068838	  0.00
3.5080	0.0073332	  0.00
3.5090	0.0077331	  0.00
3.5100	0.0082038	  0.00
3.5110	0.0085603	  0.00
3.5120	0.0091513	  0.00
3.5130	0.0098455	  0.00
3.5139	0.010471	  0.00
3.5150	0.010879	  0.00
3.5160	0.011678	  0.00
3.5170	0.011898	  0.00
3.5180	0.012979	  0.00
3.5190	0.014109	  0.00
3.5200	0.014869	  0.00
3.5210	0.015042	  0.00
3.5220	0.015708	  0.00
3.5230	0.016066	  0.00
3.5239	0.017044	  0.00
3.5250	0.017980	  0.00
3.5260	0.018644	  0.00
3.5270	0.019281	  0.00
3.5280	0.019918	  0.00
3.5290	0.020355	  0.00
3.5300	0.021926	  0.00
3.5310	0.022821	  0.00
