 &SRS
 SRSRUN=13763,SRSDAT=2013520,SRSTIM=4236,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.5320	0.023110	  0.00
3.5330	0.023921	  0.00
3.5340	0.024685	  0.00
3.5350	0.025615	  0.00
3.5360	0.026880	  0.00
3.5370	0.027364	  0.00
3.5380	0.028212	  0.00
3.5390	0.029401	  0.00
3.5400	0.029712	  0.00
3.5410	0.030476	  0.00
3.5420	0.032420	  0.00
3.5430	0.032338	  0.00
3.5441	0.033524	  0.00
3.5449	0.033898	  0.00
3.5460	0.034810	  0.00
3.5470	0.036033	  0.00
3.5480	0.037748	  0.00
3.5491	0.037297	  0.00
3.5500	0.038914	  0.00
3.5510	0.038651	  0.00
3.5520	0.039550	  0.00
3.5530	0.040824	  0.00
3.5540	0.041494	  0.00
3.5550	0.041639	  0.00
3.5560	0.042689	  0.00
3.5570	0.042674	  0.00
3.5580	0.043926	  0.00
3.5590	0.043393	  0.00
3.5600	0.044031	  0.00
3.5610	0.045296	  0.00
3.5620	0.046287	  0.00
3.5630	0.045827	  0.00
3.5640	0.047445	  0.00
3.5650	0.047549	  0.00
3.5660	0.047671	  0.00
3.5670	0.048302	  0.00
3.5680	0.047807	  0.00
3.5691	0.048447	  0.00
3.5700	0.048769	  0.00
3.5710	0.049095	  0.00
3.5720	0.049267	  0.00
3.5730	0.050345	  0.00
3.5740	0.049314	  0.00
3.5750	0.049439	  0.00
3.5759	0.048767	  0.00
3.5770	0.048595	  0.00
3.5780	0.049599	  0.00
3.5790	0.049606	  0.00
3.5801	0.048172	  0.00
3.5810	0.048385	  0.00
3.5820	0.048456	  0.00
3.5830	0.048473	  0.00
3.5840	0.048629	  0.00
3.5850	0.047514	  0.00
3.5860	0.047500	  0.00
3.5870	0.047076	  0.00
3.5880	0.046172	  0.00
3.5890	0.046198	  0.00
3.5901	0.045738	  0.00
3.5911	0.044315	  0.00
3.5920	0.044295	  0.00
3.5930	0.042515	  0.00
3.5940	0.042989	  0.00
3.5950	0.042260	  0.00
3.5960	0.041395	  0.00
3.5970	0.040752	  0.00
3.5980	0.040526	  0.00
3.5990	0.039020	  0.00
3.6001	0.037229	  0.00
3.6010	0.037634	  0.00
3.6020	0.037493	  0.00
3.6030	0.036265	  0.00
3.6040	0.035205	  0.00
3.6050	0.033923	  0.00
3.6060	0.033517	  0.00
3.6070	0.032794	  0.00
3.6080	0.032164	  0.00
3.6090	0.031172	  0.00
3.6100	0.030598	  0.00
3.6110	0.029200	  0.00
3.6120	0.028326	  0.00
3.6130	0.027821	  0.00
3.6140	0.026866	  0.00
3.6150	0.026607	  0.00
3.6160	0.024959	  0.00
3.6170	0.024078	  0.00
3.6180	0.023844	  0.00
3.6190	0.022802	  0.00
3.6200	0.022119	  0.00
3.6210	0.021641	  0.00
3.6220	0.020885	  0.00
3.6230	0.019998	  0.00
3.6240	0.019031	  0.00
3.6250	0.018529	  0.00
3.6260	0.017712	  0.00
3.6270	0.017391	  0.00
3.6280	0.016140	  0.00
3.6290	0.015610	  0.00
3.6300	0.014934	  0.00
3.6310	0.014134	  0.00
3.6320	0.013782	  0.00
3.6331	0.013094	  0.00
3.6340	0.012305	  0.00
3.6350	0.011774	  0.00
3.6360	0.011223	  0.00
3.6370	0.010664	  0.00
3.6380	0.010173	  0.00
3.6390	0.0095628	  0.00
3.6400	0.0090268	  0.00
3.6410	0.0085420	  0.00
3.6420	0.0079541	  0.00
3.6431	0.0074962	  0.00
3.6440	0.0070737	  0.00
3.6450	0.0065309	  0.00
3.6460	0.0061933	  0.00
3.6470	0.0056603	  0.00
3.6480	0.0052274	  0.00
3.6491	0.0049563	  0.00
3.6500	0.0045870	  0.00
3.6510	0.0043067	  0.00
3.6520	0.0040033	  0.00
3.6529	0.0035997	  0.00
3.6540	0.0032554	  0.00
3.6550	0.0029526	  0.00
3.6560	0.0026625	  0.00
3.6570	0.0024092	  0.00
3.6580	0.0021070	  0.00
3.6590	0.0018841	  0.00
3.6600	0.0016674	  0.00
3.6610	0.0014494	  0.00
3.6620	0.0011979	  0.00
3.6629	0.0010532	  0.00
3.6640	0.00099517	  0.00
3.6650	0.00078759	  0.00
3.6660	0.00069662	  0.00
3.6670	0.00054276	  0.00
3.6679	0.00042676	  0.00
3.6690	0.00029671	  0.00
3.6700	0.00023688	  0.00
