 &SRS
 SRSRUN=14758,SRSDAT=201364,SRSTIM=115144,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_x	i_pin	Time
3.4700	0.00034983	  0.00
3.4720	0.00057817	  0.00
3.4740	0.00077171	  0.00
3.4760	0.0010910	  0.00
3.4780	0.0014177	  0.00
3.4800	0.0018212	  0.00
3.4820	0.0021772	  0.00
3.4840	0.0027126	  0.00
3.4860	0.0031614	  0.00
3.4880	0.0036089	  0.00
3.4900	0.0043861	  0.00
3.4920	0.0049624	  0.00
3.4940	0.0058044	  0.00
3.4960	0.0067135	  0.00
3.4980	0.0078075	  0.00
3.5000	0.0085115	  0.00
3.5020	0.0095891	  0.00
3.5040	0.010724	  0.00
3.5060	0.012028	  0.00
3.5080	0.013153	  0.00
3.5100	0.015097	  0.00
3.5120	0.016079	  0.00
3.5140	0.018254	  0.00
3.5160	0.020283	  0.00
3.5180	0.021635	  0.00
3.5201	0.024071	  0.00
3.5220	0.025145	  0.00
3.5240	0.027803	  0.00
3.5260	0.029187	  0.00
3.5280	0.031470	  0.00
3.5300	0.034519	  0.00
3.5320	0.035777	  0.00
3.5340	0.039018	  0.00
3.5360	0.040714	  0.00
3.5380	0.043329	  0.00
3.5400	0.044875	  0.00
3.5420	0.047496	  0.00
3.5440	0.049770	  0.00
3.5460	0.051084	  0.00
3.5480	0.054660	  0.00
3.5500	0.054835	  0.00
3.5520	0.057181	  0.00
3.5540	0.058850	  0.00
3.5560	0.058797	  0.00
3.5580	0.061364	  0.00
3.5600	0.062141	  0.00
3.5620	0.062396	  0.00
3.5640	0.063374	  0.00
3.5660	0.063714	  0.00
3.5680	0.063332	  0.00
3.5700	0.064621	  0.00
3.5720	0.064500	  0.00
3.5740	0.064368	  0.00
3.5760	0.063334	  0.00
3.5780	0.062446	  0.00
3.5800	0.061575	  0.00
3.5820	0.058102	  0.00
3.5840	0.058980	  0.00
3.5860	0.056804	  0.00
3.5880	0.056581	  0.00
3.5900	0.054378	  0.00
3.5920	0.053334	  0.00
3.5940	0.051060	  0.00
3.5960	0.048721	  0.00
3.5980	0.046124	  0.00
3.6000	0.043356	  0.00
3.6021	0.041990	  0.00
3.6039	0.040432	  0.00
3.6060	0.038101	  0.00
3.6080	0.036279	  0.00
3.6100	0.033892	  0.00
3.6120	0.032002	  0.00
3.6140	0.029353	  0.00
3.6160	0.028313	  0.00
3.6180	0.026218	  0.00
3.6200	0.024466	  0.00
3.6220	0.022564	  0.00
3.6240	0.020877	  0.00
3.6260	0.019560	  0.00
3.6280	0.017667	  0.00
3.6300	0.016246	  0.00
3.6320	0.014900	  0.00
3.6340	0.013559	  0.00
3.6358	0.011772	  0.00
3.6380	0.010454	  0.00
3.6401	0.0091110	  0.00
3.6420	0.0078051	  0.00
3.6440	0.0065169	  0.00
3.6460	0.0057488	  0.00
3.6480	0.0048293	  0.00
3.6500	0.0040540	  0.00
3.6519	0.0033555	  0.00
3.6540	0.0025288	  0.00
3.6560	0.0019867	  0.00
3.6580	0.0015349	  0.00
3.6600	0.0011142	  0.00
3.6620	0.00081384	  0.00
3.6640	0.00055314	  0.00
3.6660	0.00031014	  0.00
3.6680	6.8362e-05	  0.00
3.6700	-4.5199e-05	  0.00
