 &SRS
 SRSRUN=14771,SRSDAT=201364,SRSTIM=1643,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
0.99990	-0.00086706	  0.00
1.0020	-0.00082982	  0.00
1.0040	-0.00078585	  0.00
1.0060	-0.00078707	  0.00
1.0079	-0.00085302	  0.00
1.0100	-0.00090859	  0.00
1.0120	-0.00076326	  0.00
1.0140	-0.00081822	  0.00
1.0159	-0.00079684	  0.00
1.0180	-0.00074189	  0.00
1.0201	-0.00078036	  0.00
1.0219	-0.00078707	  0.00
1.0240	-0.00076875	  0.00
1.0261	-0.00073151	  0.00
1.0280	-0.00072296	  0.00
1.0300	-0.00068877	  0.00
1.0320	-0.00060206	  0.00
1.0341	-0.00068938	  0.00
1.0360	-0.00067045	  0.00
1.0380	-0.00063198	  0.00
1.0401	-0.00066800	  0.00
1.0420	-0.00066922	  0.00
1.0441	-0.00058130	  0.00
1.0461	-0.00060512	  0.00
1.0480	-0.00055443	  0.00
1.0500	-0.00058679	  0.00
1.0521	-0.00055260	  0.00
1.0540	-0.00047261	  0.00
1.0564	-0.00050497	  0.00
1.0580	-0.00038957	  0.00
1.0600	-0.00036515	  0.00
1.0620	-0.00037186	  0.00
1.0639	-0.00025707	  0.00
1.0663	-0.00031813	  0.00
1.0679	-8.9769e-05	  0.00
1.0700	-9.4656e-05	  0.00
1.0720	4.0275e-05	  0.00
1.0739	0.00015872	  0.00
1.0759	0.00025336	  0.00
1.0778	0.00038157	  0.00
1.0801	0.00046461	  0.00
1.0821	0.00066243	  0.00
1.0840	0.0010868	  0.00
1.0860	0.0014213	  0.00
1.0880	0.0019049	  0.00
1.0899	0.0033054	  0.00
1.0920	0.0048635	  0.00
1.0940	0.0070236	  0.00
1.0960	0.010255	  0.00
1.0984	0.012057	  0.00
1.0999	0.015309	  0.00
1.1020	0.018825	  0.00
1.1041	0.023837	  0.00
1.1060	0.029182	  0.00
1.1080	0.032826	  0.00
1.1099	0.031782	  0.00
1.1120	0.022976	  0.00
1.1140	0.015963	  0.00
1.1159	0.011215	  0.00
1.1179	0.0097259	  0.00
1.1200	0.0063441	  0.00
1.1220	0.0048013	  0.00
1.1241	0.0034202	  0.00
1.1258	0.0025899	  0.00
1.1280	0.0016942	  0.00
1.1300	0.0011771	  0.00
1.1320	0.00087917	  0.00
1.1340	0.00065877	  0.00
1.1361	0.00041699	  0.00
1.1381	0.00032052	  0.00
1.1399	0.00033578	  0.00
1.1420	0.00014651	  0.00
1.1440	4.8824e-05	  0.00
1.1460	2.1957e-05	  0.00
1.1480	-2.0168e-05	  0.00
1.1499	-7.5728e-05	  0.00
1.1520	-0.00019235	  0.00
1.1540	-0.00021189	  0.00
1.1560	-0.00026806	  0.00
1.1580	-0.00032057	  0.00
1.1601	-0.00031996	  0.00
1.1620	-0.00036942	  0.00
1.1641	-0.00037980	  0.00
1.1661	-0.00043475	  0.00
1.1680	-0.00046162	  0.00
1.1700	-0.00049765	  0.00
1.1720	-0.00050375	  0.00
1.1741	-0.00052085	  0.00
1.1761	-0.00056847	  0.00
1.1781	-0.00053123	  0.00
1.1801	-0.00061366	  0.00
1.1820	-0.00061488	  0.00
1.1840	-0.00064602	  0.00
1.1861	-0.00060878	  0.00
1.1880	-0.00064175	  0.00
1.1900	-0.00065518	  0.00
1.1920	-0.00065152	  0.00
1.1940	-0.00070403	  0.00
1.1962	-0.00067106	  0.00
1.1980	-0.00069182	  0.00
1.2000	-0.00072907	  0.00
