 &SRS
 SRSRUN=13773,SRSDAT=2013520,SRSTIM=45210,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
0.074000	-0.00048971	  0.00
0.075000	-0.00052696	  0.00
0.075900	-0.00047933	  0.00
0.077100	-0.00053245	  0.00
0.077900	-0.00054344	  0.00
0.078900	-0.00053184	  0.00
0.080100	-0.00059412	  0.00
0.080900	-0.00056359	  0.00
0.082000	-0.00055138	  0.00
0.083000	-0.00060572	  0.00
0.084000	-0.00064969	  0.00
0.085000	-0.00061672	  0.00
0.086000	-0.00062710	  0.00
0.086900	-0.00063686	  0.00
0.088000	-0.00066678	  0.00
0.089000	-0.00062710	  0.00
0.090000	-0.00063992	  0.00
0.091000	-0.00068938	  0.00
0.092000	-0.00062099	  0.00
0.093000	-0.00060817	  0.00
0.094200	-0.00065823	  0.00
0.095100	-0.00071197	  0.00
0.096200	-0.00071808	  0.00
0.097000	-0.00071380	  0.00
0.098100	-0.00072968	  0.00
0.099100	-0.00072601	  0.00
0.10000	-0.00072723	  0.00
