 &SRS
 SRSRUN=13773,SRSDAT=2013520,SRSTIM=45210,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gony	i_pin	Time
-0.10020	-0.00071014	  0.00
-0.099000	-0.00072601	  0.00
-0.098000	-0.00076387	  0.00
-0.097000	-0.00070525	  0.00
-0.096000	-0.00071258	  0.00
-0.095100	-0.00073395	  0.00
-0.094100	-0.00068388	  0.00
-0.093200	-0.00069487	  0.00
-0.091900	-0.00067655	  0.00
-0.090800	-0.00067777	  0.00
-0.090000	-0.00070892	  0.00
-0.089100	-0.00066800	  0.00
-0.088000	-0.00067838	  0.00
-0.087000	-0.00069121	  0.00
-0.086100	-0.00064358	  0.00
-0.085100	-0.00060450	  0.00
-0.083800	-0.00061733	  0.00
-0.083100	-0.00058862	  0.00
-0.081900	-0.00059534	  0.00
-0.080700	-0.00058008	  0.00
-0.080000	-0.00060817	  0.00
-0.079100	-0.00056786	  0.00
-0.078000	-0.00056909	  0.00
-0.076900	-0.00055260	  0.00
-0.075900	-0.00060206	  0.00
-0.074900	-0.00058069	  0.00
-0.073800	-0.00046956	  0.00
-0.073000	-0.00048666	  0.00
-0.072100	-0.00047078	  0.00
-0.071000	-0.00054710	  0.00
-0.069900	-0.00042926	  0.00
-0.069000	-0.00047383	  0.00
-0.068000	-0.00046528	  0.00
-0.067000	-0.00044147	  0.00
-0.066100	-0.00043964	  0.00
-0.065100	-0.00040606	  0.00
-0.064000	-0.00043170	  0.00
-0.063000	-0.00031080	  0.00
-0.062000	-0.00037492	  0.00
-0.061000	-0.00039934	  0.00
-0.060000	-0.00035599	  0.00
-0.059000	-0.00035660	  0.00
-0.058000	-0.00034988	  0.00
-0.057100	-0.00028027	  0.00
-0.055800	-0.00026623	  0.00
-0.055000	-0.00025097	  0.00
-0.053900	-0.00023570	  0.00
-0.053000	-0.00019601	  0.00
-0.051900	-0.00015938	  0.00
-0.051000	-0.00015754	  0.00
-0.050000	-0.00013740	  0.00
-0.049000	-0.00014289	  0.00
-0.048000	-8.9159e-05	  0.00
-0.046900	-6.9620e-05	  0.00
-0.046000	-9.4656e-05	  0.00
-0.044900	1.7074e-05	  0.00
-0.043900	9.1563e-05	  0.00
-0.043100	4.8824e-05	  0.00
-0.042100	0.00011354	  0.00
-0.041000	0.00014713	  0.00
-0.039900	0.00017704	  0.00
-0.039000	0.00026618	  0.00
-0.038000	0.00031808	  0.00
-0.037000	0.00036937	  0.00
-0.036100	0.00043713	  0.00
-0.034900	0.00048354	  0.00
-0.034000	0.00055375	  0.00
-0.033100	0.00066060	  0.00
-0.031700	0.00070211	  0.00
-0.030900	0.00081323	  0.00
-0.030100	0.00093412	  0.00
-0.029000	0.00093839	  0.00
-0.028000	0.0011008	  0.00
-0.027000	0.0012510	  0.00
-0.026100	0.0014421	  0.00
-0.025200	0.0016002	  0.00
-0.024200	0.0020496	  0.00
-0.023100	0.0024360	  0.00
-0.022000	0.0023255	  0.00
-0.021000	0.0030325	  0.00
-0.020000	0.0037591	  0.00
-0.019000	0.0043867	  0.00
-0.018000	0.0054826	  0.00
-0.017000	0.0060797	  0.00
-0.016000	0.0078601	  0.00
-0.014900	0.0099231	  0.00
-0.014500	0.010686	  0.00
-0.013000	0.013323	  0.00
-0.012100	0.016498	  0.00
-0.010900	0.017375	  0.00
-0.0099000	0.020887	  0.00
-0.0090000	0.024005	  0.00
-0.0080000	0.025608	  0.00
-0.0070000	0.029691	  0.00
-0.0060000	0.034744	  0.00
-0.0049000	0.037431	  0.00
-0.0040000	0.042555	  0.00
-0.0030000	0.047789	  0.00
-0.0020000	0.049621	  0.00
-0.0012000	0.050443	  0.00
0.00010000	0.049461	  0.00
0.0011000	0.049219	  0.00
0.0020000	0.045549	  0.00
0.0030000	0.038003	  0.00
0.0039000	0.036503	  0.00
0.0050000	0.029487	  0.00
0.0063000	0.023485	  0.00
0.0069000	0.021468	  0.00
0.0079000	0.016660	  0.00
0.0089000	0.013725	  0.00
0.0099000	0.012661	  0.00
0.011000	0.010474	  0.00
0.012000	0.0088149	  0.00
0.013000	0.0081714	  0.00
0.013900	0.0062116	  0.00
0.014900	0.0051303	  0.00
0.016300	0.0038983	  0.00
0.017000	0.0038384	  0.00
0.018100	0.0028915	  0.00
0.018900	0.0025215	  0.00
0.020000	0.0022321	  0.00
0.021000	0.0018817	  0.00
0.022000	0.0017809	  0.00
0.023100	0.0015379	  0.00
0.024000	0.0014311	  0.00
0.025000	0.0013468	  0.00
0.025900	0.0010837	  0.00
0.027300	0.0010123	  0.00
0.027800	0.00093595	  0.00
0.029000	0.00083093	  0.00
0.030000	0.00073325	  0.00
0.031100	0.00069723	  0.00
0.032000	0.00058550	  0.00
0.032900	0.00054032	  0.00
0.034000	0.00050368	  0.00
0.035300	0.00041393	  0.00
0.036100	0.00036753	  0.00
0.037000	0.00033090	  0.00
0.037900	0.00032724	  0.00
0.039100	0.00027229	  0.00
0.040000	0.00026680	  0.00
0.041000	0.00017094	  0.00
0.042000	0.00017216	  0.00
0.043000	9.4619e-05	  0.00
0.044000	9.6450e-05	  0.00
0.045100	6.8362e-05	  0.00
0.046100	1.9515e-05	  0.00
0.046900	-7.2676e-05	  0.00
0.048000	-6.5959e-05	  0.00
0.048800	-8.4887e-05	  0.00
0.050100	-9.8928e-05	  0.00
0.051000	-0.00015205	  0.00
0.052000	-0.00012335	  0.00
0.052900	-0.00017403	  0.00
0.054000	-0.00020151	  0.00
0.055000	-0.00020456	  0.00
0.056000	-0.00020639	  0.00
0.057100	-0.00022593	  0.00
0.058100	-0.00025463	  0.00
0.058900	-0.00031752	  0.00
0.060000	-0.00025341	  0.00
0.061000	-0.00034438	  0.00
0.062000	-0.00032668	  0.00
0.063000	-0.00035110	  0.00
0.064000	-0.00035782	  0.00
0.065100	-0.00036270	  0.00
0.065800	-0.00039140	  0.00
0.067000	-0.00040545	  0.00
0.067900	-0.00042621	  0.00
0.069000	-0.00042621	  0.00
0.070100	-0.00043414	  0.00
0.071000	-0.00043659	  0.00
0.072000	-0.00043720	  0.00
0.073000	-0.00046834	  0.00
