 &SRS
 SRSRUN=13766,SRSDAT=2013520,SRSTIM=4311,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
49.900	-0.00083959	  0.00
49.910	-0.00070770	  0.00
49.920	-0.00061427	  0.00
49.930	-0.00051719	  0.00
49.940	-0.00043964	  0.00
49.950	-0.00032240	  0.00
49.960	-0.00018502	  0.00
49.970	1.5243e-05	  0.00
49.980	0.00028633	  0.00
49.990	0.00080834	  0.00
50.000	0.0018035	  0.00
50.010	0.0047829	  0.00
50.020	0.020415	  0.00
50.030	0.063279	  0.00
50.040	0.049427	  0.00
50.050	0.011376	  0.00
50.060	0.0035564	  0.00
50.070	0.0015233	  0.00
50.080	0.00083032	  0.00
50.090	0.00040966	  0.00
50.100	9.5840e-05	  0.00
