 &SRS
 SRSRUN=13782,SRSDAT=2013520,SRSTIM=51341,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
gonx	i_pin	Time
-1.7000	1.3726	  0.00
-1.6900	1.3727	  0.00
-1.6800	1.3725	  0.00
-1.6699	1.3719	  0.00
-1.6600	1.3713	  0.00
-1.6500	1.3705	  0.00
-1.6400	1.3691	  0.00
-1.6300	1.3675	  0.00
-1.6200	1.3632	  0.00
-1.6100	1.3555	  0.00
-1.6000	1.3418	  0.00
-1.5900	1.3195	  0.00
-1.5800	1.2824	  0.00
-1.5699	1.2277	  0.00
-1.5599	1.1471	  0.00
-1.5501	1.0471	  0.00
-1.5400	0.91898	  0.00
-1.5300	0.77389	  0.00
-1.5200	0.62443	  0.00
-1.5101	0.47742	  0.00
-1.5000	0.34784	  0.00
-1.4900	0.24138	  0.00
-1.4800	0.15589	  0.00
-1.4700	0.095347	  0.00
-1.4599	0.053614	  0.00
-1.4500	0.028643	  0.00
-1.4400	0.014286	  0.00
-1.4300	0.0070456	  0.00
-1.4200	0.0032145	  0.00
-1.4100	0.0012595	  0.00
-1.4000	0.00029366	  0.00
-1.3900	-0.00018502	  0.00
-1.3799	-0.00043231	  0.00
-1.3700	-0.00054222	  0.00
-1.3601	-0.00058374	  0.00
-1.3499	-0.00060328	  0.00
-1.3400	-0.00062710	  0.00
-1.3300	-0.00064053	  0.00
-1.3200	-0.00064297	  0.00
-1.3100	-0.00064969	  0.00
-1.3000	-0.00066190	  0.00
