 &SRS
 SRSRUN=14756,SRSDAT=201364,SRSTIM=112410,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
miniap_y	i_pin	Time
45.900	-0.00091347	  0.00
45.902	-0.00089637	  0.00
45.904	-0.00087195	  0.00
45.906	-0.00092996	  0.00
45.908	-0.00092202	  0.00
45.910	-0.00083775	  0.00
45.912	-0.00090675	  0.00
45.914	-0.00091225	  0.00
45.916	-0.00090187	  0.00
45.918	-0.00086767	  0.00
45.920	-0.00084264	  0.00
45.922	-0.00089027	  0.00
45.924	-0.00088477	  0.00
45.926	-0.00091469	  0.00
45.928	-0.00093911	  0.00
45.930	-0.00089149	  0.00
45.932	-0.00087073	  0.00
45.934	-0.00088233	  0.00
45.936	-0.00091164	  0.00
45.938	-0.00097392	  0.00
45.940	-0.00091469	  0.00
45.942	-0.00092080	  0.00
45.944	-0.00090859	  0.00
45.946	-0.00089149	  0.00
45.948	-0.00083775	  0.00
45.950	-0.00090126	  0.00
45.952	-0.00089760	  0.00
45.954	-0.00090981	  0.00
45.956	-0.00096965	  0.00
45.958	-0.00087866	  0.00
45.960	-0.00088538	  0.00
45.962	-0.00091103	  0.00
45.964	-0.00091713	  0.00
45.966	-0.00093728	  0.00
45.968	-0.00091286	  0.00
45.970	-0.00089210	  0.00
45.972	-0.00093911	  0.00
45.974	-0.00092629	  0.00
45.976	-0.00088294	  0.00
45.978	-0.00089027	  0.00
45.980	-0.00086645	  0.00
45.982	-0.00088783	  0.00
45.984	-0.00089760	  0.00
45.986	-0.00091836	  0.00
45.988	-0.00086645	  0.00
45.990	-0.00089882	  0.00
45.992	-0.00088844	  0.00
45.994	-0.00077303	  0.00
45.996	-0.00092507	  0.00
45.998	-0.00085241	  0.00
46.000	-0.00086340	  0.00
46.002	-0.00086462	  0.00
46.004	-0.00083959	  0.00
46.006	-0.00084325	  0.00
46.008	-0.00082982	  0.00
46.010	-0.00082005	  0.00
46.012	-0.00080784	  0.00
46.014	-0.00077120	  0.00
46.016	-0.00071136	  0.00
46.018	-0.00058924	  0.00
46.020	-0.00053062	  0.00
46.022	-0.00038285	  0.00
46.024	-0.00019235	  0.00
46.026	-4.5199e-05	  0.00
46.028	0.00031686	  0.00
46.030	0.00064839	  0.00
46.032	0.0010202	  0.00
