 &SRS
 SRSRUN=31405,SRSDAT=20141216,SRSTIM=92356,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
sgx	i_pin
3.8900	-0.0010112
3.9100	-0.00096843
3.9300	-0.00090126
3.9500	-0.00093790
3.9700	-0.00090309
3.9900	-0.00091530
4.0100	-0.00090309
4.0300	-0.00095011
4.0500	-0.00092507
4.0700	-0.00086890
4.0900	-0.00094705
4.1100	-0.00092996
4.1300	-0.00079868
4.1500	0.019494
4.1700	0.017901
4.1900	0.018953
4.2100	0.019752
4.2300	0.020212
4.2500	0.020147
4.2700	0.020192
4.2900	0.020177
4.3100	0.019700
4.3300	0.019741
4.3500	0.019903
4.3700	0.019808
4.3900	0.020078
4.4100	0.020208
4.4300	0.019360
4.4500	0.019700
4.4700	0.020403
4.4900	0.019862
4.5100	0.019896
4.5300	0.019671
4.5500	0.019175
4.5700	0.014451
4.5900	-0.00089699
4.6100	-0.00091286
4.6300	-0.00093667
4.6500	-0.00093606
4.6700	-0.00088416
4.6900	-0.00091652
