 &SRS
 SRSRUN=31402,SRSDAT=20141216,SRSTIM=92311,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
sgy	i_pin
4.1075	-0.00093728
4.1575	0.0016845
4.2075	0.018684
4.2575	0.31739
4.3075	0.53327
4.3575	0.55757
4.4075	0.56198
4.4575	0.56226
4.5074	0.56257
4.5575	0.55977
4.6075	0.54364
4.6575	0.30899
4.7075	0.028776
4.7575	0.0048092
4.8075	-0.00084447
