 &SRS
 SRSRUN=31406,SRSDAT=20141216,SRSTIM=92416,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
sgy	i_pin
-3.9385	-0.00095316
-3.9185	-0.00087989
-3.8985	-0.00091225
-3.8785	-0.00091164
-3.8585	-0.00096537
-3.8385	-0.00095133
-3.8185	-0.00092813
-3.7985	-0.00091164
-3.7785	-0.00090370
-3.7585	-0.00085791
-3.7385	0.018490
-3.7185	0.020014
-3.6985	0.020032
-3.6785	0.020225
-3.6585	0.020015
-3.6385	0.019747
-3.6185	0.019589
-3.5985	0.018877
-3.5785	0.020181
-3.5585	0.019857
-3.5385	0.020015
-3.5185	0.020104
-3.4985	0.020339
-3.4785	0.019778
-3.4585	0.020067
-3.4385	0.020285
-3.4185	0.019940
-3.3985	0.019871
-3.3785	0.019616
-3.3585	0.019790
-3.3385	0.014057
-3.3185	-0.00083287
-3.2985	-0.00093423
-3.2785	-0.00095683
-3.2585	-0.00095377
-3.2385	-0.00092080
-3.2185	-0.00091897
-3.1985	-0.00090614
-3.1785	-0.00087440
-3.1585	-0.00088355
-3.1385	-0.00094522
