 &SRS
 SRSRUN=31401,SRSDAT=20141216,SRSTIM=9232,
 SRSSTN='ws00',SRSPRJ='i02     ',SRSEXP='commissi',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
sgx	i_pin
3.8227	-0.00099529
3.8727	-0.00095255
3.9227	0.0071787
3.9727	0.089378
4.0227	0.32597
4.0727	0.53187
4.1227	0.56047
4.1727	0.56323
4.2227	0.56230
4.2727	0.56269
4.3227	0.56076
4.3727	0.52841
4.4227	0.36518
4.4727	0.11875
4.5227	0.0072434
4.5727	-0.00086707
4.6227	-0.00087440
